consulta,categoria,respuesta,respuesta_compuesta,respuestas_compuestas
¿Cuál es la fecha límite para completar la inscripción?,matriculas,La fecha límite para completar tu inscripción es el 30 de julio. Después deberás pagar un recargo por tardanza.,"La la fecha límite para completar la inscripción es, La fecha límite para completar tu inscripción es el 30 de julio. Después deberás pagar un recargo por tardanza.","La la fecha límite para completar la inscripción es, La fecha límite para completar tu inscripción es el 30 de julio. Después deberás pagar un recargo por tardanza."
No puedo entrar al sistema de inscripciones,matriculas,"Si tienes problemas para acceder al sistema de inscripciones, verifica tu conexión a internet, limpia el caché de tu navegador e intenta con otro navegador. Si el problema persiste, contacta al departamento de sistemas al correo sistemas@institucion.edu o acude personalmente con tu identificación.","Con respecto a tu pregunta sobre no puedo entrar al sistema de inscripciones,, Si tienes problemas para acceder al sistema de inscripciones, verifica tu conexión a internet, limpia el caché de tu navegador e intenta con otro navegador. Si el problema persiste, contacta al departamento de sistemas al correo sistemas@institucion.edu o acude personalmente con tu identificación.","Con respecto a tu pregunta sobre no puedo entrar al sistema de inscripciones,, Si tienes problemas para acceder al sistema de inscripciones, verifica tu conexión a internet, limpia el caché de tu navegador e intenta con otro navegador. Si el problema persiste, contacta al departamento de sistemas al correo sistemas@institucion.edu o acude personalmente con tu identificación."
¿Qué pasa si me inscribo tarde?,matriculas,"Si te inscribes durante el periodo extraordinario (1-5 de agosto), deberás pagar un recargo del 10% sobre el costo de la matrícula. Además, la disponibilidad de cupos en los grupos será limitada y podrías no encontrar lugar en los horarios que prefieras.","Lo que necesitas saber sobre pasa si me inscribo tarde es, Si te inscribes durante el periodo extraordinario (1-5 de agosto), deberás pagar un recargo del 10% sobre el costo de la matrícula. Además, la disponibilidad de cupos en los grupos será limitada y podrías no encontrar lugar en los horarios que prefieras.","Lo que necesitas saber sobre pasa si me inscribo tarde es, Si te inscribes durante el periodo extraordinario (1-5 de agosto), deberás pagar un recargo del 10% sobre el costo de la matrícula. Además, la disponibilidad de cupos en los grupos será limitada y podrías no encontrar lugar en los horarios que prefieras."
¿Necesito estar al corriente en mis pagos para inscribirme?,matriculas,"Sí, para realizar tu inscripción al nuevo semestre debes estar al corriente en tus pagos anteriores. El sistema verificará automáticamente que no tengas adeudos pendientes. Si tienes algún adeudo, deberás liquidarlo antes de poder inscribirte.","Lo que necesitas es, Sí, para realizar tu inscripción al nuevo semestre debes estar al corriente en tus pagos anteriores. El sistema verificará automáticamente que no tengas adeudos pendientes. Si tienes algún adeudo, deberás liquidarlo antes de poder inscribirte.","Lo que necesitas es, Sí, para realizar tu inscripción al nuevo semestre debes estar al corriente en tus pagos anteriores. El sistema verificará automáticamente que no tengas adeudos pendientes. Si tienes algún adeudo, deberás liquidarlo antes de poder inscribirte."
¿Se puede hacer la inscripción en línea?,matriculas,"Sí, todo el proceso de inscripción puede realizarse en línea a través del portal estudiantil (www.portalestudiantil.institucion.edu). Solo necesitarás acudir presencialmente si tienes algún caso especial que requiera atención personalizada.","Con respecto a tu pregunta sobre se puede hacer la inscripción en línea,, Sí, todo el proceso de inscripción puede realizarse en línea a través del portal estudiantil (www.portalestudiantil.institucion.edu). Solo necesitarás acudir presencialmente si tienes algún caso especial que requiera atención personalizada.","Con respecto a tu pregunta sobre se puede hacer la inscripción en línea,, Sí, todo el proceso de inscripción puede realizarse en línea a través del portal estudiantil (www.portalestudiantil.institucion.edu). Solo necesitarás acudir presencialmente si tienes algún caso especial que requiera atención personalizada."
¿A qué hora comienzan las clases?,horarios,"Las clases matutinas comienzan a las 7:00 AM, el turno vespertino inicia a las 2:00 PM y las clases nocturnas a partir de las 6:00 PM. Te recomendamos llegar 15 minutos antes para ubicar tu aula.","Con respecto a tu pregunta sobre a qué hora comienzan las clases,, Las clases matutinas comienzan a las 7:00 AM, el turno vespertino inicia a las 2:00 PM y las clases nocturnas a partir de las 6:00 PM. Te recomendamos llegar 15 minutos antes para ubicar tu aula.","Con respecto a tu pregunta sobre a qué hora comienzan las clases,, Las clases matutinas comienzan a las 7:00 AM, el turno vespertino inicia a las 2:00 PM y las clases nocturnas a partir de las 6:00 PM. Te recomendamos llegar 15 minutos antes para ubicar tu aula."
¿Dónde puedo ver mi horario?,horarios,"Puedes consultar tu horario en el portal estudiantil, sección 'Horario actual'. También está publicado en las vitrinas del edificio principal y puedes solicitar una copia impresa en la secretaría académica presentando tu credencial.","Puedes hacerlo en el lugar donde, Puedes consultar tu horario en el portal estudiantil, sección 'Horario actual'. También está publicado en las vitrinas del edificio principal y puedes solicitar una copia impresa en la secretaría académica presentando tu credencial.","Puedes realizarlo en el lugar donde, Puedes consultar tu horario en el portal estudiantil, sección 'Horario actual'. También está publicado en las vitrinas del edificio principal y puedes solicitar una copia impresa en la secretaría académica presentando tu credencial."
¿Cuándo termina el semestre actual?,horarios,El semestre actual finaliza el 15 de diciembre. La última semana (9-15 de diciembre) está destinada a exámenes finales. Las calificaciones estarán disponibles a partir del 20 de diciembre en el portal estudiantil.,"El momento indicado para termina el semestre actual es, El semestre actual finaliza el 15 de diciembre. La última semana (9-15 de diciembre) está destinada a exámenes finales. Las calificaciones estarán disponibles a partir del 20 de diciembre en el portal estudiantil.","El momento indicado para termina el semestre actual es, El semestre actual finaliza el 15 de diciembre. La última semana (9-15 de diciembre) está destinada a exámenes finales. Las calificaciones estarán disponibles a partir del 20 de diciembre en el portal estudiantil."
¿Cuáles son los horarios de atención de secretaría?,horarios,"La secretaría académica atiende de lunes a viernes de 8:00 AM a 2:00 PM y de 4:00 PM a 7:00 PM. Los sábados solo de 9:00 AM a 12:00 PM. Durante periodos vacacionales, el horario se reduce de 10:00 AM a 2:00 PM.","Con respecto a tu pregunta sobre cuáles son los horarios de atención de secretaría,, La secretaría académica atiende de lunes a viernes de 8:00 AM a 2:00 PM y de 4:00 PM a 7:00 PM. Los sábados solo de 9:00 AM a 12:00 PM. Durante periodos vacacionales, el horario se reduce de 10:00 AM a 2:00 PM.","Con respecto a tu pregunta sobre cuáles son los horarios de atención de secretaría,, La secretaría académica atiende de lunes a viernes de 8:00 AM a 2:00 PM y de 4:00 PM a 7:00 PM. Los sábados solo de 9:00 AM a 12:00 PM. Durante periodos vacacionales, el horario se reduce de 10:00 AM a 2:00 PM."
¿Hay clases durante la semana santa?,horarios,No hay clases durante la semana santa. El periodo vacacional comprende del 14 al 20 de abril. Las actividades académicas se reanudan el lunes 21 de abril en sus horarios habituales.,"Con respecto a tu pregunta sobre hay clases durante la semana santa,, No hay clases durante la semana santa. El periodo vacacional comprende del 14 al 20 de abril. Las actividades académicas se reanudan el lunes 21 de abril en sus horarios habituales.","Con respecto a tu pregunta sobre hay clases durante la semana santa,, No hay clases durante la semana santa. El periodo vacacional comprende del 14 al 20 de abril. Las actividades académicas se reanudan el lunes 21 de abril en sus horarios habituales."
¿Cuándo inician los exámenes finales?,horarios,Los exámenes finales inician el 9 de diciembre y concluyen el 15 de diciembre. El calendario específico por materia se publica dos semanas antes en el portal estudiantil y en las vitrinas de cada departamento.,"El momento indicado para inician los exámenes finales es, Los exámenes finales inician el 9 de diciembre y concluyen el 15 de diciembre. El calendario específico por materia se publica dos semanas antes en el portal estudiantil y en las vitrinas de cada departamento.","El momento indicado para inician los exámenes finales es, Los exámenes finales inician el 9 de diciembre y concluyen el 15 de diciembre. El calendario específico por materia se publica dos semanas antes en el portal estudiantil y en las vitrinas de cada departamento."
Necesito saber el horario de biblioteca,horarios,"La biblioteca está abierta de lunes a viernes de 7:00 AM a 9:00 PM y los sábados de 8:00 AM a 2:00 PM. Durante periodo de exámenes, se extiende el horario hasta las 11:00 PM de lunes a viernes.","Lo que necesitas es, La biblioteca está abierta de lunes a viernes de 7:00 AM a 9:00 PM y los sábados de 8:00 AM a 2:00 PM. Durante periodo de exámenes, se extiende el horario hasta las 11:00 PM de lunes a viernes.","Lo que necesitas es, La biblioteca está abierta de lunes a viernes de 7:00 AM a 9:00 PM y los sábados de 8:00 AM a 2:00 PM. Durante periodo de exámenes, se extiende el horario hasta las 11:00 PM de lunes a viernes."
¿Cuándo es el periodo de exámenes extraordinarios?,horarios,El periodo de exámenes extraordinarios es del 8 al 19 de enero. Debes inscribirte previamente en el departamento de servicios escolares y cubrir el costo correspondiente por cada materia a presentar.,"El momento indicado para es el periodo de exámenes extraordinarios es, El periodo de exámenes extraordinarios es del 8 al 19 de enero. Debes inscribirte previamente en el departamento de servicios escolares y cubrir el costo correspondiente por cada materia a presentar.","El momento indicado para es el periodo de exámenes extraordinarios es, El periodo de exámenes extraordinarios es del 8 al 19 de enero. Debes inscribirte previamente en el departamento de servicios escolares y cubrir el costo correspondiente por cada materia a presentar."
¿A qué hora cierran las instalaciones?,horarios,Las instalaciones del campus cierran a las 10:00 PM de lunes a viernes y a las 3:00 PM los sábados. Los domingos permanecen cerradas excepto por eventos especiales programados con anticipación.,"Con respecto a tu pregunta sobre a qué hora cierran las instalaciones,, Las instalaciones del campus cierran a las 10:00 PM de lunes a viernes y a las 3:00 PM los sábados. Los domingos permanecen cerradas excepto por eventos especiales programados con anticipación.","Con respecto a tu pregunta sobre a qué hora cierran las instalaciones,, Las instalaciones del campus cierran a las 10:00 PM de lunes a viernes y a las 3:00 PM los sábados. Los domingos permanecen cerradas excepto por eventos especiales programados con anticipación."
¿Cuándo inician las clases del próximo semestre?,horarios,"Las clases del próximo semestre inician el 15 de agosto. La primera semana se considera de inducción para estudiantes de nuevo ingreso, mientras que los estudiantes regulares comienzan directamente con sus actividades académicas.","El momento indicado para inician las clases del próximo semestre es, Las clases del próximo semestre inician el 15 de agosto. La primera semana se considera de inducción para estudiantes de nuevo ingreso, mientras que los estudiantes regulares comienzan directamente con sus actividades académicas.","El momento indicado para inician las clases del próximo semestre es, Las clases del próximo semestre inician el 15 de agosto. La primera semana se considera de inducción para estudiantes de nuevo ingreso, mientras que los estudiantes regulares comienzan directamente con sus actividades académicas."
¿Cuál es el horario de la cafetería?,horarios,"La cafetería principal opera de lunes a viernes de 7:00 AM a 8:00 PM y sábados de 8:00 AM a 2:00 PM. El desayuno se sirve de 7:00 a 10:30 AM, la comida de 12:00 a 4:00 PM y la cena de 6:00 a 8:00 PM.","La el horario de la cafetería es, La cafetería principal opera de lunes a viernes de 7:00 AM a 8:00 PM y sábados de 8:00 AM a 2:00 PM. El desayuno se sirve de 7:00 a 10:30 AM, la comida de 12:00 a 4:00 PM y la cena de 6:00 a 8:00 PM.","La el horario de la cafetería es, La cafetería principal opera de lunes a viernes de 7:00 AM a 8:00 PM y sábados de 8:00 AM a 2:00 PM. El desayuno se sirve de 7:00 a 10:30 AM, la comida de 12:00 a 4:00 PM y la cena de 6:00 a 8:00 PM."
¿Hay un calendario académico disponible?,horarios,"Sí, el calendario académico completo está disponible en el portal estudiantil en la sección 'Calendario'. También puedes encontrarlo impreso en las vitrinas de cada edificio y solicitar una copia en servicios escolares.","Con respecto a tu pregunta sobre hay un calendario académico disponible,, Sí, el calendario académico completo está disponible en el portal estudiantil en la sección 'Calendario'. También puedes encontrarlo impreso en las vitrinas de cada edificio y solicitar una copia en servicios escolares.","Con respecto a tu pregunta sobre hay un calendario académico disponible,, Sí, el calendario académico completo está disponible en el portal estudiantil en la sección 'Calendario'. También puedes encontrarlo impreso en las vitrinas de cada edificio y solicitar una copia en servicios escolares."
¿Puedo tomar clases en turno vespertino y matutino?,horarios,"Sí, puedes combinar clases de diferentes turnos siempre que no existan traslapes de horario y cumplas con los prerrequisitos de las materias. Te recomendamos verificar la distancia entre edificios si tus clases son consecutivas.","Con respecto a tu pregunta sobre puedo tomar clases en turno vespertino y matutino,, Sí, puedes combinar clases de diferentes turnos siempre que no existan traslapes de horario y cumplas con los prerrequisitos de las materias. Te recomendamos verificar la distancia entre edificios si tus clases son consecutivas.","Con respecto a tu pregunta sobre puedo tomar clases en turno vespertino y matutino,, Sí, puedes combinar clases de diferentes turnos siempre que no existan traslapes de horario y cumplas con los prerrequisitos de las materias. Te recomendamos verificar la distancia entre edificios si tus clases son consecutivas."
¿A qué hora abren las puertas de la institución?,horarios,Las puertas de la institución abren a las 6:30 AM de lunes a viernes y a las 7:30 AM los sábados. El acceso temprano está disponible solo por la entrada principal y requiere mostrar tu credencial al personal de seguridad.,"Con respecto a tu pregunta sobre a qué hora abren las puertas de la institución,, Las puertas de la institución abren a las 6:30 AM de lunes a viernes y a las 7:30 AM los sábados. El acceso temprano está disponible solo por la entrada principal y requiere mostrar tu credencial al personal de seguridad.","Con respecto a tu pregunta sobre a qué hora abren las puertas de la institución,, Las puertas de la institución abren a las 6:30 AM de lunes a viernes y a las 7:30 AM los sábados. El acceso temprano está disponible solo por la entrada principal y requiere mostrar tu credencial al personal de seguridad."
¿Cómo solicito una constancia de estudios?,tramites,"Para solicitar una constancia de estudios, debes llenar el formato disponible en servicios escolares o descargarlo del portal estudiantil, realizar el pago de $150 pesos en caja y entregar el comprobante. El documento estará listo en 3 días hábiles.","Para solicito una constancia de estudios, Para solicitar una constancia de estudios, debes llenar el formato disponible en servicios escolares o descargarlo del portal estudiantil, realizar el pago de $150 pesos en caja y entregar el comprobante. El documento estará listo en 3 días hábiles.","Cómo solicito una constancia de estudios, Para solicitar una constancia de estudios, debes llenar el formato disponible en servicios escolares o descargarlo del portal estudiantil, realizar el pago de $150 pesos en caja y entregar el comprobante. El documento estará listo en 3 días hábiles."
¿En qué lugar puedo reclamar mi carné estudiantil?,tramites,Puedes reclamar tu carné en el Departamento de Bienestar Universitario presentando tu comprobante de inscripción.,"Con respecto a tu pregunta sobre en qué lugar puedo reclamar mi carné estudiantil,, Puedes reclamar tu carné en el Departamento de Bienestar Universitario presentando tu comprobante de inscripción.","Con respecto a tu pregunta sobre en qué lugar puedo reclamar mi carné estudiantil,, Puedes reclamar tu carné en el Departamento de Bienestar Universitario presentando tu comprobante de inscripción."
¿Cómo hago para cambiarme de grupo?,tramites,"Para cambiarte de grupo, debes solicitar el formato correspondiente en la secretaría académica, obtener la firma de autorización del coordinador de carrera, verificar disponibilidad de espacio en el grupo deseado y entregar el formato completo en servicios escolares antes del 15 de agosto.","Para hago para cambiarme de grupo, Para cambiarte de grupo, debes solicitar el formato correspondiente en la secretaría académica, obtener la firma de autorización del coordinador de carrera, verificar disponibilidad de espacio en el grupo deseado y entregar el formato completo en servicios escolares antes del 15 de agosto.","Para para cambiarme de grupo, Para cambiarte de grupo, debes solicitar el formato correspondiente en la secretaría académica, obtener la firma de autorización del coordinador de carrera, verificar disponibilidad de espacio en el grupo deseado y entregar el formato completo en servicios escolares antes del 15 de agosto."
¿Cuál es el proceso para dar de baja una materia?,tramites,"Para dar de baja una materia, debes solicitar el formato en servicios escolares, entrevistarte con tu tutor académico para obtener su autorización, y entregar el formato firmado antes del 30 de septiembre. Después de esta fecha, la baja se registrará como reprobada.","La el proceso para dar de baja una materia es, Para dar de baja una materia, debes solicitar el formato en servicios escolares, entrevistarte con tu tutor académico para obtener su autorización, y entregar el formato firmado antes del 30 de septiembre. Después de esta fecha, la baja se registrará como reprobada.","La el proceso para dar de baja una materia es, Para dar de baja una materia, debes solicitar el formato en servicios escolares, entrevistarte con tu tutor académico para obtener su autorización, y entregar el formato firmado antes del 30 de septiembre. Después de esta fecha, la baja se registrará como reprobada."
¿Cómo solicito un cambio de carrera?,tramites,"El proceso de cambio de carrera requiere: 1) Solicitud formal en servicios escolares, 2) Entrevista con el coordinador de la carrera actual, 3) Entrevista con el coordinador de la carrera deseada, 4) Evaluación académica, y 5) Dictamen final. El trámite debe iniciarse un mes antes del periodo de inscripción.","Para solicito un cambio de carrera, El proceso de cambio de carrera requiere: 1) Solicitud formal en servicios escolares, 2) Entrevista con el coordinador de la carrera actual, 3) Entrevista con el coordinador de la carrera deseada, 4) Evaluación académica, y 5) Dictamen final. El trámite debe iniciarse un mes antes del periodo de inscripción.","Cómo solicito un cambio de carrera, El proceso de cambio de carrera requiere: 1) Solicitud formal en servicios escolares, 2) Entrevista con el coordinador de la carrera actual, 3) Entrevista con el coordinador de la carrera deseada, 4) Evaluación académica, y 5) Dictamen final. El trámite debe iniciarse un mes antes del periodo de inscripción."
Necesito un certificado parcial,tramites,"Para obtener un certificado parcial de estudios, debes presentar una solicitud en servicios escolares, realizar el pago de $500 pesos en caja, entregar 2 fotografías tamaño credencial y esperar 10 días hábiles para su entrega. Asegúrate de no tener adeudos en biblioteca o finanzas.","Lo que necesitas es, Para obtener un certificado parcial de estudios, debes presentar una solicitud en servicios escolares, realizar el pago de $500 pesos en caja, entregar 2 fotografías tamaño credencial y esperar 10 días hábiles para su entrega. Asegúrate de no tener adeudos en biblioteca o finanzas.","Lo que necesitas es, Para obtener un certificado parcial de estudios, debes presentar una solicitud en servicios escolares, realizar el pago de $500 pesos en caja, entregar 2 fotografías tamaño credencial y esperar 10 días hábiles para su entrega. Asegúrate de no tener adeudos en biblioteca o finanzas."
¿Cómo tramito mi título?,tramites,"El trámite de titulación inicia una vez aprobadas todas las materias. Debes acudir a la coordinación de titulación, elegir la modalidad de titulación disponible para tu carrera, cubrir los requisitos específicos y realizar los pagos correspondientes. El proceso completo puede tomar de 6 a 8 meses.","Para tramito mi título, El trámite de titulación inicia una vez aprobadas todas las materias. Debes acudir a la coordinación de titulación, elegir la modalidad de titulación disponible para tu carrera, cubrir los requisitos específicos y realizar los pagos correspondientes. El proceso completo puede tomar de 6 a 8 meses.","Cómo tramito mi título, El trámite de titulación inicia una vez aprobadas todas las materias. Debes acudir a la coordinación de titulación, elegir la modalidad de titulación disponible para tu carrera, cubrir los requisitos específicos y realizar los pagos correspondientes. El proceso completo puede tomar de 6 a 8 meses."
¿Qué hago si perdí mi credencial?,tramites,"Si perdiste tu credencial, debes solicitar una reposición en servicios escolares, pagar $200 pesos por el duplicado en caja, tomarte una fotografía en el departamento de sistemas y esperar 5 días hábiles para recoger tu nueva credencial.","Lo que necesitas saber sobre hago si perdí mi credencial es, Si perdiste tu credencial, debes solicitar una reposición en servicios escolares, pagar $200 pesos por el duplicado en caja, tomarte una fotografía en el departamento de sistemas y esperar 5 días hábiles para recoger tu nueva credencial.","Lo que necesitas saber sobre hago si perdí mi credencial es, Si perdiste tu credencial, debes solicitar una reposición en servicios escolares, pagar $200 pesos por el duplicado en caja, tomarte una fotografía en el departamento de sistemas y esperar 5 días hábiles para recoger tu nueva credencial."
¿Cómo justifico una falta?,tramites,"Para justificar una falta debes presentar documentación que respalde el motivo (certificado médico, citatorio judicial, etc.) en la coordinación académica dentro de los 3 días siguientes a tu reincorporación. Cada profesor decidirá si te permite entregar trabajos o presentar evaluaciones pendientes.","Para justifico una falta, Para justificar una falta debes presentar documentación que respalde el motivo (certificado médico, citatorio judicial, etc.) en la coordinación académica dentro de los 3 días siguientes a tu reincorporación. Cada profesor decidirá si te permite entregar trabajos o presentar evaluaciones pendientes.","Cómo justifico una falta, Para justificar una falta debes presentar documentación que respalde el motivo (certificado médico, citatorio judicial, etc.) en la coordinación académica dentro de los 3 días siguientes a tu reincorporación. Cada profesor decidirá si te permite entregar trabajos o presentar evaluaciones pendientes."
¿Cómo solicito un historial académico?,tramites,"Para solicitar tu historial académico, debes completar el formato de solicitud en servicios escolares, pagar $100 pesos en caja y presentar tu credencial vigente. El documento estará disponible en 2 días hábiles y podrás recogerlo con tu comprobante de pago.","Para solicito un historial académico, Para solicitar tu historial académico, debes completar el formato de solicitud en servicios escolares, pagar $100 pesos en caja y presentar tu credencial vigente. El documento estará disponible en 2 días hábiles y podrás recogerlo con tu comprobante de pago.","Cómo solicito un historial académico, Para solicitar tu historial académico, debes completar el formato de solicitud en servicios escolares, pagar $100 pesos en caja y presentar tu credencial vigente. El documento estará disponible en 2 días hábiles y podrás recogerlo con tu comprobante de pago."
¿Cómo tramito una carta de buena conducta?,tramites,"Para obtener una carta de buena conducta, debes solicitarla en la coordinación de tu carrera, presentar tu credencial vigente y esperar 24 horas para recogerla. Este documento es gratuito y se entrega con la firma del coordinador y sello oficial.","Para tramito una carta de buena conducta, Para obtener una carta de buena conducta, debes solicitarla en la coordinación de tu carrera, presentar tu credencial vigente y esperar 24 horas para recogerla. Este documento es gratuito y se entrega con la firma del coordinador y sello oficial.","Cómo tramito una carta de buena conducta, Para obtener una carta de buena conducta, debes solicitarla en la coordinación de tu carrera, presentar tu credencial vigente y esperar 24 horas para recogerla. Este documento es gratuito y se entrega con la firma del coordinador y sello oficial."
