consulta,categoria,respuesta,respuestas_compuestas,consulta_
¿Cuál es la fecha límite para completar la inscripción?,matriculas,La fecha límite para completar tu inscripción es el 30 de julio. Después deberás pagar un recargo por tardanza.,¿Cuál es la fecha límite para completar la inscripción? La fecha límite para completar tu inscripción es el 30 de julio. Después deberás pagar un recargo por tardanza.,¿Cuál es la fecha límite para completar la inscripción? matriculas
No puedo entrar al sistema de inscripciones,matriculas,"Si tienes problemas para acceder al sistema de inscripciones, verifica tu conexión a internet, limpia el caché de tu navegador e intenta con otro navegador. Si el problema persiste, contacta al departamento de sistemas al correo sistemas@institucion.edu o acude personalmente con tu identificación.","No puedo entrar al sistema de inscripciones Si tienes problemas para acceder al sistema de inscripciones, verifica tu conexión a internet, limpia el caché de tu navegador e intenta con otro navegador. Si el problema persiste, contacta al departamento de sistemas al correo sistemas@institucion.edu o acude personalmente con tu identificación.",No puedo entrar al sistema de inscripciones matriculas
¿Qué pasa si me inscribo tarde?,matriculas,"Si te inscribes durante el periodo extraordinario (1-5 de agosto), deberás pagar un recargo del 10% sobre el costo de la matrícula. Además, la disponibilidad de cupos en los grupos será limitada y podrías no encontrar lugar en los horarios que prefieras.","¿Qué pasa si me inscribo tarde? Si te inscribes durante el periodo extraordinario (1-5 de agosto), deberás pagar un recargo del 10% sobre el costo de la matrícula. Además, la disponibilidad de cupos en los grupos será limitada y podrías no encontrar lugar en los horarios que prefieras.",¿Qué pasa si me inscribo tarde? matriculas
¿Necesito estar al corriente en mis pagos para inscribirme?,matriculas,"Sí, para realizar tu inscripción al nuevo semestre debes estar al corriente en tus pagos anteriores. El sistema verificará automáticamente que no tengas adeudos pendientes. Si tienes algún adeudo, deberás liquidarlo antes de poder inscribirte.","¿Necesito estar al corriente en mis pagos para inscribirme? Sí, para realizar tu inscripción al nuevo semestre debes estar al corriente en tus pagos anteriores. El sistema verificará automáticamente que no tengas adeudos pendientes. Si tienes algún adeudo, deberás liquidarlo antes de poder inscribirte.",¿Necesito estar al corriente en mis pagos para inscribirme? matriculas
¿Se puede hacer la inscripción en línea?,matriculas,"Sí, todo el proceso de inscripción puede realizarse en línea a través del portal estudiantil (www.portalestudiantil.institucion.edu). Solo necesitarás acudir presencialmente si tienes algún caso especial que requiera atención personalizada.","¿Se puede hacer la inscripción en línea? Sí, todo el proceso de inscripción puede realizarse en línea a través del portal estudiantil (www.portalestudiantil.institucion.edu). Solo necesitarás acudir presencialmente si tienes algún caso especial que requiera atención personalizada.",¿Se puede hacer la inscripción en línea? matriculas
¿A qué hora comienzan las clases?,horarios,"Las clases matutinas comienzan a las 7:00 AM, el turno vespertino inicia a las 2:00 PM y las clases nocturnas a partir de las 6:00 PM. Te recomendamos llegar 15 minutos antes para ubicar tu aula.","¿A qué hora comienzan las clases? Las clases matutinas comienzan a las 7:00 AM, el turno vespertino inicia a las 2:00 PM y las clases nocturnas a partir de las 6:00 PM. Te recomendamos llegar 15 minutos antes para ubicar tu aula.",¿A qué hora comienzan las clases? horarios
¿Dónde puedo ver mi horario?,horarios,"Puedes consultar tu horario en el portal estudiantil, sección 'Horario actual'. También está publicado en las vitrinas del edificio principal y puedes solicitar una copia impresa en la secretaría académica presentando tu credencial.","¿Dónde puedo ver mi horario? Puedes consultar tu horario en el portal estudiantil, sección 'Horario actual'. También está publicado en las vitrinas del edificio principal y puedes solicitar una copia impresa en la secretaría académica presentando tu credencial.",¿Dónde puedo ver mi horario? horarios
¿Cuándo termina el semestre actual?,horarios,El semestre actual finaliza el 15 de diciembre. La última semana (9-15 de diciembre) está destinada a exámenes finales. Las calificaciones estarán disponibles a partir del 20 de diciembre en el portal estudiantil.,¿Cuándo termina el semestre actual? El semestre actual finaliza el 15 de diciembre. La última semana (9-15 de diciembre) está destinada a exámenes finales. Las calificaciones estarán disponibles a partir del 20 de diciembre en el portal estudiantil.,¿Cuándo termina el semestre actual? horarios
¿Cuáles son los horarios de atención de secretaría?,horarios,"La secretaría académica atiende de lunes a viernes de 8:00 AM a 2:00 PM y de 4:00 PM a 7:00 PM. Los sábados solo de 9:00 AM a 12:00 PM. Durante periodos vacacionales, el horario se reduce de 10:00 AM a 2:00 PM.","¿Cuáles son los horarios de atención de secretaría? La secretaría académica atiende de lunes a viernes de 8:00 AM a 2:00 PM y de 4:00 PM a 7:00 PM. Los sábados solo de 9:00 AM a 12:00 PM. Durante periodos vacacionales, el horario se reduce de 10:00 AM a 2:00 PM.",¿Cuáles son los horarios de atención de secretaría? horarios
¿Hay clases durante la semana santa?,horarios,No hay clases durante la semana santa. El periodo vacacional comprende del 14 al 20 de abril. Las actividades académicas se reanudan el lunes 21 de abril en sus horarios habituales.,¿Hay clases durante la semana santa? No hay clases durante la semana santa. El periodo vacacional comprende del 14 al 20 de abril. Las actividades académicas se reanudan el lunes 21 de abril en sus horarios habituales.,¿Hay clases durante la semana santa? horarios
¿Cuándo inician los exámenes finales?,horarios,Los exámenes finales inician el 9 de diciembre y concluyen el 15 de diciembre. El calendario específico por materia se publica dos semanas antes en el portal estudiantil y en las vitrinas de cada departamento.,¿Cuándo inician los exámenes finales? Los exámenes finales inician el 9 de diciembre y concluyen el 15 de diciembre. El calendario específico por materia se publica dos semanas antes en el portal estudiantil y en las vitrinas de cada departamento.,¿Cuándo inician los exámenes finales? horarios
Necesito saber el horario de biblioteca,horarios,"La biblioteca está abierta de lunes a viernes de 7:00 AM a 9:00 PM y los sábados de 8:00 AM a 2:00 PM. Durante periodo de exámenes, se extiende el horario hasta las 11:00 PM de lunes a viernes.","Necesito saber el horario de biblioteca La biblioteca está abierta de lunes a viernes de 7:00 AM a 9:00 PM y los sábados de 8:00 AM a 2:00 PM. Durante periodo de exámenes, se extiende el horario hasta las 11:00 PM de lunes a viernes.",Necesito saber el horario de biblioteca horarios
¿Cuándo es el periodo de exámenes extraordinarios?,horarios,El periodo de exámenes extraordinarios es del 8 al 19 de enero. Debes inscribirte previamente en el departamento de servicios escolares y cubrir el costo correspondiente por cada materia a presentar.,¿Cuándo es el periodo de exámenes extraordinarios? El periodo de exámenes extraordinarios es del 8 al 19 de enero. Debes inscribirte previamente en el departamento de servicios escolares y cubrir el costo correspondiente por cada materia a presentar.,¿Cuándo es el periodo de exámenes extraordinarios? horarios
¿A qué hora cierran las instalaciones?,horarios,Las instalaciones del campus cierran a las 10:00 PM de lunes a viernes y a las 3:00 PM los sábados. Los domingos permanecen cerradas excepto por eventos especiales programados con anticipación.,¿A qué hora cierran las instalaciones? Las instalaciones del campus cierran a las 10:00 PM de lunes a viernes y a las 3:00 PM los sábados. Los domingos permanecen cerradas excepto por eventos especiales programados con anticipación.,¿A qué hora cierran las instalaciones? horarios
¿Cuándo inician las clases del próximo semestre?,horarios,"Las clases del próximo semestre inician el 15 de agosto. La primera semana se considera de inducción para estudiantes de nuevo ingreso, mientras que los estudiantes regulares comienzan directamente con sus actividades académicas.","¿Cuándo inician las clases del próximo semestre? Las clases del próximo semestre inician el 15 de agosto. La primera semana se considera de inducción para estudiantes de nuevo ingreso, mientras que los estudiantes regulares comienzan directamente con sus actividades académicas.",¿Cuándo inician las clases del próximo semestre? horarios
¿Cuál es el horario de la cafetería?,horarios,"La cafetería principal opera de lunes a viernes de 7:00 AM a 8:00 PM y sábados de 8:00 AM a 2:00 PM. El desayuno se sirve de 7:00 a 10:30 AM, la comida de 12:00 a 4:00 PM y la cena de 6:00 a 8:00 PM.","¿Cuál es el horario de la cafetería? La cafetería principal opera de lunes a viernes de 7:00 AM a 8:00 PM y sábados de 8:00 AM a 2:00 PM. El desayuno se sirve de 7:00 a 10:30 AM, la comida de 12:00 a 4:00 PM y la cena de 6:00 a 8:00 PM.",¿Cuál es el horario de la cafetería? horarios
¿Hay un calendario académico disponible?,horarios,"Sí, el calendario académico completo está disponible en el portal estudiantil en la sección 'Calendario'. También puedes encontrarlo impreso en las vitrinas de cada edificio y solicitar una copia en servicios escolares.","¿Hay un calendario académico disponible? Sí, el calendario académico completo está disponible en el portal estudiantil en la sección 'Calendario'. También puedes encontrarlo impreso en las vitrinas de cada edificio y solicitar una copia en servicios escolares.",¿Hay un calendario académico disponible? horarios
¿Puedo tomar clases en turno vespertino y matutino?,horarios,"Sí, puedes combinar clases de diferentes turnos siempre que no existan traslapes de horario y cumplas con los prerrequisitos de las materias. Te recomendamos verificar la distancia entre edificios si tus clases son consecutivas.","¿Puedo tomar clases en turno vespertino y matutino? Sí, puedes combinar clases de diferentes turnos siempre que no existan traslapes de horario y cumplas con los prerrequisitos de las materias. Te recomendamos verificar la distancia entre edificios si tus clases son consecutivas.",¿Puedo tomar clases en turno vespertino y matutino? horarios
¿A qué hora abren las puertas de la institución?,horarios,Las puertas de la institución abren a las 6:30 AM de lunes a viernes y a las 7:30 AM los sábados. El acceso temprano está disponible solo por la entrada principal y requiere mostrar tu credencial al personal de seguridad.,¿A qué hora abren las puertas de la institución? Las puertas de la institución abren a las 6:30 AM de lunes a viernes y a las 7:30 AM los sábados. El acceso temprano está disponible solo por la entrada principal y requiere mostrar tu credencial al personal de seguridad.,¿A qué hora abren las puertas de la institución? horarios
¿Cómo solicito una constancia de estudios?,tramites,"Para solicitar una constancia de estudios, debes llenar el formato disponible en servicios escolares o descargarlo del portal estudiantil, realizar el pago de $150 pesos en caja y entregar el comprobante. El documento estará listo en 3 días hábiles.","¿Cómo solicito una constancia de estudios? Para solicitar una constancia de estudios, debes llenar el formato disponible en servicios escolares o descargarlo del portal estudiantil, realizar el pago de $150 pesos en caja y entregar el comprobante. El documento estará listo en 3 días hábiles.",¿Cómo solicito una constancia de estudios? tramites
¿En qué lugar puedo reclamar mi carné estudiantil?,tramites,Puedes reclamar tu carné en el Departamento de Bienestar Universitario presentando tu comprobante de inscripción.,¿En qué lugar puedo reclamar mi carné estudiantil? Puedes reclamar tu carné en el Departamento de Bienestar Universitario presentando tu comprobante de inscripción.,¿En qué lugar puedo reclamar mi carné estudiantil? tramites
¿Cómo hago para cambiarme de grupo?,tramites,"Para cambiarte de grupo, debes solicitar el formato correspondiente en la secretaría académica, obtener la firma de autorización del coordinador de carrera, verificar disponibilidad de espacio en el grupo deseado y entregar el formato completo en servicios escolares antes del 15 de agosto.","¿Cómo hago para cambiarme de grupo? Para cambiarte de grupo, debes solicitar el formato correspondiente en la secretaría académica, obtener la firma de autorización del coordinador de carrera, verificar disponibilidad de espacio en el grupo deseado y entregar el formato completo en servicios escolares antes del 15 de agosto.",¿Cómo hago para cambiarme de grupo? tramites
¿Cuál es el proceso para dar de baja una materia?,tramites,"Para dar de baja una materia, debes solicitar el formato en servicios escolares, entrevistarte con tu tutor académico para obtener su autorización, y entregar el formato firmado antes del 30 de septiembre. Después de esta fecha, la baja se registrará como reprobada.","¿Cuál es el proceso para dar de baja una materia? Para dar de baja una materia, debes solicitar el formato en servicios escolares, entrevistarte con tu tutor académico para obtener su autorización, y entregar el formato firmado antes del 30 de septiembre. Después de esta fecha, la baja se registrará como reprobada.",¿Cuál es el proceso para dar de baja una materia? tramites
¿Cómo solicito un cambio de carrera?,tramites,"El proceso de cambio de carrera requiere: 1) Solicitud formal en servicios escolares, 2) Entrevista con el coordinador de la carrera actual, 3) Entrevista con el coordinador de la carrera deseada, 4) Evaluación académica, y 5) Dictamen final. El trámite debe iniciarse un mes antes del periodo de inscripción.","¿Cómo solicito un cambio de carrera? El proceso de cambio de carrera requiere: 1) Solicitud formal en servicios escolares, 2) Entrevista con el coordinador de la carrera actual, 3) Entrevista con el coordinador de la carrera deseada, 4) Evaluación académica, y 5) Dictamen final. El trámite debe iniciarse un mes antes del periodo de inscripción.",¿Cómo solicito un cambio de carrera? tramites
Necesito un certificado parcial,tramites,"Para obtener un certificado parcial de estudios, debes presentar una solicitud en servicios escolares, realizar el pago de $500 pesos en caja, entregar 2 fotografías tamaño credencial y esperar 10 días hábiles para su entrega. Asegúrate de no tener adeudos en biblioteca o finanzas.","Necesito un certificado parcial Para obtener un certificado parcial de estudios, debes presentar una solicitud en servicios escolares, realizar el pago de $500 pesos en caja, entregar 2 fotografías tamaño credencial y esperar 10 días hábiles para su entrega. Asegúrate de no tener adeudos en biblioteca o finanzas.",Necesito un certificado parcial tramites
¿Cómo tramito mi título?,tramites,"El trámite de titulación inicia una vez aprobadas todas las materias. Debes acudir a la coordinación de titulación, elegir la modalidad de titulación disponible para tu carrera, cubrir los requisitos específicos y realizar los pagos correspondientes. El proceso completo puede tomar de 6 a 8 meses.","¿Cómo tramito mi título? El trámite de titulación inicia una vez aprobadas todas las materias. Debes acudir a la coordinación de titulación, elegir la modalidad de titulación disponible para tu carrera, cubrir los requisitos específicos y realizar los pagos correspondientes. El proceso completo puede tomar de 6 a 8 meses.",¿Cómo tramito mi título? tramites
¿Qué hago si perdí mi credencial?,tramites,"Si perdiste tu credencial, debes solicitar una reposición en servicios escolares, pagar $200 pesos por el duplicado en caja, tomarte una fotografía en el departamento de sistemas y esperar 5 días hábiles para recoger tu nueva credencial.","¿Qué hago si perdí mi credencial? Si perdiste tu credencial, debes solicitar una reposición en servicios escolares, pagar $200 pesos por el duplicado en caja, tomarte una fotografía en el departamento de sistemas y esperar 5 días hábiles para recoger tu nueva credencial.",¿Qué hago si perdí mi credencial? tramites
¿Cómo justifico una falta?,tramites,"Para justificar una falta debes presentar documentación que respalde el motivo (certificado médico, citatorio judicial, etc.) en la coordinación académica dentro de los 3 días siguientes a tu reincorporación. Cada profesor decidirá si te permite entregar trabajos o presentar evaluaciones pendientes.","¿Cómo justifico una falta? Para justificar una falta debes presentar documentación que respalde el motivo (certificado médico, citatorio judicial, etc.) en la coordinación académica dentro de los 3 días siguientes a tu reincorporación. Cada profesor decidirá si te permite entregar trabajos o presentar evaluaciones pendientes.",¿Cómo justifico una falta? tramites
¿Cómo solicito un historial académico?,tramites,"Para solicitar tu historial académico, debes completar el formato de solicitud en servicios escolares, pagar $100 pesos en caja y presentar tu credencial vigente. El documento estará disponible en 2 días hábiles y podrás recogerlo con tu comprobante de pago.","¿Cómo solicito un historial académico? Para solicitar tu historial académico, debes completar el formato de solicitud en servicios escolares, pagar $100 pesos en caja y presentar tu credencial vigente. El documento estará disponible en 2 días hábiles y podrás recogerlo con tu comprobante de pago.",¿Cómo solicito un historial académico? tramites
¿Cómo tramito una carta de buena conducta?,tramites,"Para obtener una carta de buena conducta, debes solicitarla en la coordinación de tu carrera, presentar tu credencial vigente y esperar 24 horas para recogerla. Este documento es gratuito y se entrega con la firma del coordinador y sello oficial.","¿Cómo tramito una carta de buena conducta? Para obtener una carta de buena conducta, debes solicitarla en la coordinación de tu carrera, presentar tu credencial vigente y esperar 24 horas para recogerla. Este documento es gratuito y se entrega con la firma del coordinador y sello oficial.",¿Cómo tramito una carta de buena conducta? tramites
¿Cómo tramito mi seguro facultativo?,tramites,"Para tramitar tu seguro facultativo (IMSS), acude al departamento de servicios estudiantiles con tu CURP, identificación oficial, comprobante de domicilio reciente y 2 fotografías tamaño infantil. El trámite tarda aproximadamente 10 días hábiles.","¿Cómo tramito mi seguro facultativo? Para tramitar tu seguro facultativo (IMSS), acude al departamento de servicios estudiantiles con tu CURP, identificación oficial, comprobante de domicilio reciente y 2 fotografías tamaño infantil. El trámite tarda aproximadamente 10 días hábiles.",¿Cómo tramito mi seguro facultativo? tramites
¿Cómo solicito un permiso de ausencia temporal?,tramites,"Para solicitar un permiso de ausencia temporal, debes presentar una carta explicando los motivos, documentación que respalde la solicitud, y obtener autorización de tu tutor académico y coordinador de carrera. Este trámite debe realizarse con al menos una semana de anticipación.","¿Cómo solicito un permiso de ausencia temporal? Para solicitar un permiso de ausencia temporal, debes presentar una carta explicando los motivos, documentación que respalde la solicitud, y obtener autorización de tu tutor académico y coordinador de carrera. Este trámite debe realizarse con al menos una semana de anticipación.",¿Cómo solicito un permiso de ausencia temporal? tramites
¿Cuál es el proceso para revalidar materias de otra institución?,tramites,"Para revalidar materias cursadas en otra institución, debes presentar certificado parcial legalizado, contenidos temáticos sellados por la institución de origen, y realizar el pago correspondiente. El comité académico evaluará las equivalencias y emitirá un dictamen en un plazo de 15 días hábiles.","¿Cuál es el proceso para revalidar materias de otra institución? Para revalidar materias cursadas en otra institución, debes presentar certificado parcial legalizado, contenidos temáticos sellados por la institución de origen, y realizar el pago correspondiente. El comité académico evaluará las equivalencias y emitirá un dictamen en un plazo de 15 días hábiles.",¿Cuál es el proceso para revalidar materias de otra institución? tramites
¿Dónde está la biblioteca?,instalaciones,"La biblioteca se encuentra en el edificio C, segundo piso. Cuenta con sala de lectura, cubículos de estudio grupal, hemeroteca y centro de cómputo. Puedes acceder por la entrada principal o por la escalera este del edificio.","¿Dónde está la biblioteca? La biblioteca se encuentra en el edificio C, segundo piso. Cuenta con sala de lectura, cubículos de estudio grupal, hemeroteca y centro de cómputo. Puedes acceder por la entrada principal o por la escalera este del edificio.",¿Dónde está la biblioteca? instalaciones
¿A qué hora abre el laboratorio de informática?,instalaciones,"El laboratorio de informática abre de lunes a viernes de 7:00 AM a 9:00 PM y los sábados de 8:00 AM a 2:00 PM. Para usar las computadoras, debes presentar tu credencial vigente en la entrada y respetar el reglamento interno.","¿A qué hora abre el laboratorio de informática? El laboratorio de informática abre de lunes a viernes de 7:00 AM a 9:00 PM y los sábados de 8:00 AM a 2:00 PM. Para usar las computadoras, debes presentar tu credencial vigente en la entrada y respetar el reglamento interno.",¿A qué hora abre el laboratorio de informática? instalaciones
¿Cómo reservo un salón para estudio?,instalaciones,"Para reservar un salón de estudio, debes acudir a la administración de aulas (edificio A, planta baja), llenar el formato de solicitud con al menos 24 horas de anticipación, indicar el número de participantes y el horario requerido. La reserva está sujeta a disponibilidad.","¿Cómo reservo un salón para estudio? Para reservar un salón de estudio, debes acudir a la administración de aulas (edificio A, planta baja), llenar el formato de solicitud con al menos 24 horas de anticipación, indicar el número de participantes y el horario requerido. La reserva está sujeta a disponibilidad.",¿Cómo reservo un salón para estudio? instalaciones
¿Dónde queda la cafetería?,instalaciones,"La cafetería principal está ubicada entre los edificios B y C, con horario de 7:00 AM a 8:00 PM de lunes a viernes y de 8:00 AM a 2:00 PM los sábados. También hay cafeterías más pequeñas en los edificios D y F que operan en horario reducido.","¿Dónde queda la cafetería? La cafetería principal está ubicada entre los edificios B y C, con horario de 7:00 AM a 8:00 PM de lunes a viernes y de 8:00 AM a 2:00 PM los sábados. También hay cafeterías más pequeñas en los edificios D y F que operan en horario reducido.",¿Dónde queda la cafetería? instalaciones
¿Hay estacionamiento para estudiantes?,instalaciones,"Sí, contamos con estacionamiento para estudiantes en la parte posterior del campus. Para acceder necesitas un tarjetón vehicular que puedes solicitar en el departamento de seguridad presentando tarjeta de circulación, licencia de conducir vigente y credencial de estudiante.","¿Hay estacionamiento para estudiantes? Sí, contamos con estacionamiento para estudiantes en la parte posterior del campus. Para acceder necesitas un tarjetón vehicular que puedes solicitar en el departamento de seguridad presentando tarjeta de circulación, licencia de conducir vigente y credencial de estudiante.",¿Hay estacionamiento para estudiantes? instalaciones
¿Dónde se encuentran los baños?,instalaciones,"Hay baños en todos los edificios del campus. En el edificio A están en cada piso junto a las escaleras, en el edificio B al final de cada pasillo, y en los edificios C y D junto a los elevadores. Todos están señalizados claramente.","¿Dónde se encuentran los baños? Hay baños en todos los edificios del campus. En el edificio A están en cada piso junto a las escaleras, en el edificio B al final de cada pasillo, y en los edificios C y D junto a los elevadores. Todos están señalizados claramente.",¿Dónde se encuentran los baños? instalaciones
¿Hay servicio médico en la institución?,instalaciones,"Sí, contamos con servicio médico en el módulo de salud ubicado a un costado del edificio administrativo. Ofrece primeros auxilios y atención básica de lunes a viernes de 8:00 AM a 8:00 PM y sábados de 9:00 AM a 1:00 PM.","¿Hay servicio médico en la institución? Sí, contamos con servicio médico en el módulo de salud ubicado a un costado del edificio administrativo. Ofrece primeros auxilios y atención básica de lunes a viernes de 8:00 AM a 8:00 PM y sábados de 9:00 AM a 1:00 PM.",¿Hay servicio médico en la institución? instalaciones
¿Dónde está la oficina de becas?,instalaciones,"La oficina de becas y apoyos financieros se encuentra en el edificio administrativo, primer piso, oficina 112. Atiende de lunes a viernes de 9:00 AM a 2:00 PM y de 3:00 PM a 6:00 PM.","¿Dónde está la oficina de becas? La oficina de becas y apoyos financieros se encuentra en el edificio administrativo, primer piso, oficina 112. Atiende de lunes a viernes de 9:00 AM a 2:00 PM y de 3:00 PM a 6:00 PM.",¿Dónde está la oficina de becas? instalaciones
¿Puedo imprimir en la escuela?,instalaciones,"Sí, hay servicios de impresión disponibles en la biblioteca, en el centro de copiado (edificio D, planta baja) y en el laboratorio de informática. El costo es de $1 peso por hoja en blanco y negro y $5 pesos por hoja a color.","¿Puedo imprimir en la escuela? Sí, hay servicios de impresión disponibles en la biblioteca, en el centro de copiado (edificio D, planta baja) y en el laboratorio de informática. El costo es de $1 peso por hoja en blanco y negro y $5 pesos por hoja a color.",¿Puedo imprimir en la escuela? instalaciones
¿Tienen canchas deportivas?,instalaciones,"Sí, contamos con canchas de básquetbol, voleibol y fútbol rápido en la zona deportiva ubicada al este del campus. Puedes usarlas libremente cuando no haya clases programadas o reservarlas para eventos deportivos en la coordinación de deportes.","¿Tienen canchas deportivas? Sí, contamos con canchas de básquetbol, voleibol y fútbol rápido en la zona deportiva ubicada al este del campus. Puedes usarlas libremente cuando no haya clases programadas o reservarlas para eventos deportivos en la coordinación de deportes.",¿Tienen canchas deportivas? instalaciones
¿Dónde puedo encontrar al coordinador de mi carrera?,instalaciones,"Las oficinas de los coordinadores de carrera se encuentran en el edificio B, primer piso. Cada coordinación tiene un horario de atención publicado en la puerta de la oficina. Te recomendamos verificar el horario de tu coordinador específico.","¿Dónde puedo encontrar al coordinador de mi carrera? Las oficinas de los coordinadores de carrera se encuentran en el edificio B, primer piso. Cada coordinación tiene un horario de atención publicado en la puerta de la oficina. Te recomendamos verificar el horario de tu coordinador específico.",¿Dónde puedo encontrar al coordinador de mi carrera? instalaciones
¿Hay área de casilleros para estudiantes?,instalaciones,"Sí, contamos con casilleros ubicados en la planta baja de los edificios A, C y E. Para solicitar uno, acude al departamento de servicios estudiantiles con tu credencial vigente, realiza un pago de $200 pesos por semestre y firma el reglamento de uso.","¿Hay área de casilleros para estudiantes? Sí, contamos con casilleros ubicados en la planta baja de los edificios A, C y E. Para solicitar uno, acude al departamento de servicios estudiantiles con tu credencial vigente, realiza un pago de $200 pesos por semestre y firma el reglamento de uso.",¿Hay área de casilleros para estudiantes? instalaciones
