,Unnamed: 0,work_year,experience_level,employment_type,job_title,salary,salary_currency,salary_in_usd,employee_residence,remote_ratio,company_location,company_size,job_title_clean,employee_residence_clean,company_location_clean,log_salary_usd,remote_type
22,22,2020,se,ft,Data Engineer,42000,eur,47899,GR,50,GR,l,data engineer,other,other,10.776870783399007,híbrido
23,23,2020,mi,ft,BI Data Analyst,98000,usd,98000,US,0,US,m,other,us,us,11.49273296168228,presencial
24,24,2020,mi,ft,Lead Data Scientist,115000,usd,115000,AE,0,AE,l,other,other,other,11.652696102959753,presencial
25,25,2020,ex,ft,Director of Data Science,325000,usd,325000,US,100,US,l,other,us,us,12.691583538230217,remoto total
26,26,2020,en,ft,Research Scientist,42000,usd,42000,NL,50,NL,l,research scientist,other,other,10.645448706505872,híbrido
27,27,2020,se,ft,Data Engineer,720000,mxn,33511,MX,0,MX,s,data engineer,other,other,10.419658862626871,presencial
28,28,2020,en,ct,Business Data Analyst,100000,usd,100000,US,100,US,l,other,us,us,11.51293546492023,remoto total
29,29,2020,se,ft,Machine Learning Manager,157000,cad,117104,CA,50,CA,l,other,ca,ca,11.6708262472225,híbrido
30,30,2020,mi,ft,Data Engineering Manager,51999,eur,59303,DE,100,DE,s,other,de,de,10.990432036336555,remoto total
31,31,2020,en,ft,Big Data Engineer,70000,usd,70000,US,100,US,l,other,us,us,11.156264806643742,remoto total
32,32,2020,se,ft,Data Scientist,60000,eur,68428,GR,100,US,l,data scientist,other,us,11.133551990366144,remoto total
33,33,2020,mi,ft,Research Scientist,450000,usd,450000,US,0,US,m,research scientist,us,us,13.017005083966255,presencial
34,34,2020,mi,ft,Data Analyst,41000,eur,46759,FR,50,FR,l,data analyst,other,other,10.752783415586006,híbrido
35,35,2020,mi,ft,Data Engineer,65000,eur,74130,AT,50,AT,l,data engineer,other,other,11.213589077374968,híbrido
36,36,2020,mi,ft,Data Science Consultant,103000,usd,103000,US,100,US,l,other,us,us,11.542493975902508,remoto total
37,37,2020,en,ft,Machine Learning Engineer,250000,usd,250000,US,50,US,l,machine learning engineer,us,us,12.429220196836383,híbrido
38,38,2020,en,ft,Data Analyst,10000,usd,10000,NG,100,NG,s,data analyst,other,other,9.210440366976517,remoto total
39,39,2020,en,ft,Machine Learning Engineer,138000,usd,138000,US,100,US,s,machine learning engineer,us,us,11.835016210489899,remoto total
40,40,2020,mi,ft,Data Scientist,45760,usd,45760,PH,100,US,s,data scientist,other,us,10.731187478961756,remoto total
41,41,2020,ex,ft,Data Engineering Manager,70000,eur,79833,ES,50,ES,l,other,other,other,11.28770475786082,híbrido
42,42,2020,mi,ft,Machine Learning Infrastructure Engineer,44000,eur,50180,PT,0,PT,m,other,other,other,10.823391747980118,presencial
43,43,2020,mi,ft,Data Engineer,106000,usd,106000,US,100,US,l,data engineer,us,us,11.571203807011969,remoto total
44,44,2020,mi,ft,Data Engineer,88000,gbp,112872,GB,50,GB,l,data engineer,gb,gb,11.634018571846916,híbrido
45,45,2020,en,pt,ML Engineer,14000,eur,15966,DE,100,DE,s,other,de,de,9.678279371339702,remoto total
46,46,2020,mi,ft,Data Scientist,60000,gbp,76958,GB,100,GB,s,data scientist,gb,gb,11.251028091492175,remoto total
47,47,2020,se,ft,Data Engineer,188000,usd,188000,US,100,US,l,data engineer,us,us,12.144202560946876,remoto total
48,48,2020,mi,ft,Data Scientist,105000,usd,105000,US,100,US,l,data scientist,us,us,11.561725152903833,remoto total
49,49,2020,mi,ft,Data Engineer,61500,eur,70139,FR,50,FR,l,data engineer,other,other,11.15824852369417,híbrido
50,50,2020,en,ft,Data Analyst,450000,inr,6072,IN,0,IN,s,data analyst,in,in,8.711607995897575,presencial
51,51,2020,en,ft,Data Analyst,91000,usd,91000,US,100,US,l,data analyst,us,us,11.418625774449598,remoto total
52,52,2020,en,ft,AI Scientist,300000,dkk,45896,DK,50,DK,s,other,other,other,10.734155034435489,híbrido
53,53,2020,en,ft,Data Engineer,48000,eur,54742,PK,100,DE,l,data engineer,other,de,10.910404785623465,remoto total
54,54,2020,se,fl,Computer Vision Engineer,60000,usd,60000,RU,100,US,s,other,other,us,11.002116507732017,remoto total
55,55,2020,se,ft,Principal Data Scientist,130000,eur,148261,DE,100,DE,m,other,de,de,11.906736257934913,remoto total
56,56,2020,mi,ft,Data Scientist,34000,eur,38776,ES,100,ES,m,data scientist,other,other,10.565582566340604,remoto total
57,57,2020,mi,ft,Data Scientist,118000,usd,118000,US,100,US,m,data scientist,us,us,11.678448377988165,remoto total
58,58,2020,se,ft,Data Scientist,120000,usd,120000,US,50,US,l,data scientist,us,us,11.695255355062795,híbrido
59,59,2020,mi,ft,Data Scientist,138350,usd,138350,US,100,US,m,data scientist,us,us,11.837549213233764,remoto total
60,60,2020,mi,ft,Data Engineer,110000,usd,110000,US,100,US,l,data engineer,us,us,11.608244735642321,remoto total
61,61,2020,mi,ft,Data Engineer,130800,usd,130800,ES,100,US,m,data engineer,other,us,11.781432363235949,remoto total
62,62,2020,en,pt,Data Scientist,19000,eur,21669,IT,50,IT,s,data scientist,other,other,9.983684094530405,híbrido
63,63,2020,se,ft,Data Scientist,412000,usd,412000,US,100,US,l,data scientist,us,us,12.928781055513184,remoto total
64,64,2020,se,ft,Machine Learning Engineer,40000,eur,45618,HR,100,HR,s,machine learning engineer,other,other,10.728079575387694,remoto total
65,65,2020,en,ft,Data Scientist,55000,eur,62726,DE,50,DE,s,data scientist,de,de,11.046547255939533,híbrido
66,66,2020,en,ft,Data Scientist,43200,eur,49268,DE,0,DE,s,data scientist,de,de,10.805050359005671,presencial
67,67,2020,se,ft,Data Science Manager,190200,usd,190200,US,100,US,m,other,us,us,12.155836686703159,remoto total
68,68,2020,en,ft,Data Scientist,105000,usd,105000,US,100,US,s,data scientist,us,us,11.561725152903833,remoto total
69,69,2020,se,ft,Data Scientist,80000,eur,91237,AT,0,AT,s,data scientist,other,other,11.42122675594764,presencial
70,70,2020,mi,ft,Data Scientist,55000,eur,62726,FR,50,LU,s,data scientist,other,other,11.046547255939533,híbrido
71,71,2020,mi,ft,Data Scientist,37000,eur,42197,FR,50,FR,s,data scientist,other,other,10.650128105536073,híbrido
72,72,2021,en,ft,Research Scientist,60000,gbp,82528,GB,50,GB,l,research scientist,gb,gb,11.320905025707312,híbrido
73,73,2021,ex,ft,BI Data Analyst,150000,usd,150000,IN,100,US,l,other,in,us,11.918397239722838,remoto total
74,74,2021,ex,ft,Head of Data,235000,usd,235000,US,100,US,l,other,us,us,12.367345048436391,remoto total
75,75,2021,se,ft,Data Scientist,45000,eur,53192,FR,50,FR,l,data scientist,other,other,10.881682087725098,híbrido
76,76,2021,mi,ft,BI Data Analyst,100000,usd,100000,US,100,US,m,other,us,us,11.51293546492023,remoto total
77,77,2021,mi,pt,3D Computer Vision Researcher,400000,inr,5409,IN,50,IN,m,other,in,in,8.596004371840527,híbrido
78,78,2021,mi,ct,ML Engineer,270000,usd,270000,US,100,US,l,other,us,us,12.506180941677357,remoto total
79,79,2021,en,ft,Data Analyst,80000,usd,80000,US,100,US,m,data analyst,us,us,11.289794413577894,remoto total
80,80,2021,se,ft,Data Analytics Engineer,67000,eur,79197,DE,100,DE,l,other,de,de,11.279706324958415,remoto total
81,81,2021,mi,ft,Data Engineer,140000,usd,140000,US,100,US,l,data engineer,us,us,11.849404844423074,remoto total
82,82,2021,mi,ft,Applied Data Scientist,68000,cad,54238,GB,50,CA,l,other,gb,ca,10.90115548586615,híbrido
83,83,2021,mi,ft,Machine Learning Engineer,40000,eur,47282,ES,100,ES,s,machine learning engineer,other,other,10.76390610184365,remoto total
84,84,2021,ex,ft,Director of Data Science,130000,eur,153667,IT,100,PL,l,other,other,other,11.94254971006262,remoto total
85,85,2021,mi,ft,Data Engineer,110000,pln,28476,PL,100,PL,l,data engineer,other,other,10.25685202289892,remoto total
86,86,2021,en,ft,Data Analyst,50000,eur,59102,FR,50,FR,m,data analyst,other,other,10.987036963527192,híbrido
87,87,2021,mi,ft,Data Analytics Engineer,110000,usd,110000,US,100,US,l,other,us,us,11.608244735642321,remoto total
88,88,2021,se,ft,Lead Data Analyst,170000,usd,170000,US,100,US,l,other,us,us,12.04355959836804,remoto total
89,89,2021,se,ft,Data Analyst,80000,usd,80000,BG,100,US,s,data analyst,other,us,11.289794413577894,remoto total
90,90,2021,se,ft,Marketing Data Analyst,75000,eur,88654,GR,100,DK,l,other,other,other,11.392507711491088,remoto total
91,91,2021,en,ft,Data Science Consultant,65000,eur,76833,DE,100,DE,s,other,de,de,11.249402529502674,remoto total
92,92,2021,mi,ft,Lead Data Analyst,1450000,inr,19609,IN,100,IN,l,other,in,in,9.883794919190391,remoto total
93,93,2021,se,ft,Lead Data Engineer,276000,usd,276000,US,0,US,l,other,us,us,12.52815976788113,presencial
94,94,2021,en,ft,Data Scientist,2200000,inr,29751,IN,50,IN,l,data scientist,in,in,10.300651635604906,híbrido
95,95,2021,mi,ft,Cloud Data Engineer,120000,sgd,89294,SG,50,SG,l,other,other,other,11.3997007742556,híbrido
96,96,2021,en,pt,AI Scientist,12000,usd,12000,BR,100,US,s,other,other,us,9.392745258631441,remoto total
97,97,2021,mi,ft,Financial Data Analyst,450000,usd,450000,US,100,US,l,other,us,us,13.017005083966255,remoto total
98,98,2021,en,ft,Computer Vision Software Engineer,70000,usd,70000,US,100,US,m,other,us,us,11.156264806643742,remoto total
99,99,2021,mi,ft,Computer Vision Software Engineer,81000,eur,95746,DE,100,US,s,other,de,us,11.469464574959359,remoto total
100,100,2021,mi,ft,Data Analyst,75000,usd,75000,US,0,US,l,data analyst,us,us,11.225256725762893,presencial
101,101,2021,se,ft,Data Engineer,150000,usd,150000,US,100,US,l,data engineer,us,us,11.918397239722838,remoto total
102,102,2021,mi,ft,BI Data Analyst,11000000,huf,36259,HU,50,US,l,other,other,us,10.498470484308841,híbrido
103,103,2021,mi,ft,Data Analyst,62000,usd,62000,US,0,US,l,data analyst,us,us,11.034905792929415,presencial
104,104,2021,mi,ft,Data Scientist,73000,usd,73000,US,0,US,l,data scientist,us,us,11.19822841866684,presencial
105,105,2021,mi,ft,Data Analyst,37456,gbp,51519,GB,50,GB,l,data analyst,gb,gb,10.849725360778235,híbrido
106,106,2021,mi,ft,Research Scientist,235000,cad,187442,CA,100,CA,l,research scientist,ca,ca,12.141230078175235,remoto total
107,107,2021,se,ft,Data Engineer,115000,usd,115000,US,100,US,s,data engineer,us,us,11.652696102959753,remoto total
108,108,2021,se,ft,Data Engineer,150000,usd,150000,US,100,US,m,data engineer,us,us,11.918397239722838,remoto total
109,109,2021,en,ft,Data Engineer,2250000,inr,30428,IN,100,IN,l,data engineer,in,in,10.323151380044106,remoto total
110,110,2021,se,ft,Machine Learning Engineer,80000,eur,94564,DE,50,DE,l,machine learning engineer,de,de,11.457042707722556,híbrido
111,111,2021,se,ft,Director of Data Engineering,82500,gbp,113476,GB,100,GB,m,other,gb,gb,11.639355452196886,remoto total
112,112,2021,se,ft,Lead Data Engineer,75000,gbp,103160,GB,100,GB,s,other,gb,gb,11.544046153628019,remoto total
113,113,2021,en,pt,AI Scientist,12000,usd,12000,PK,100,US,m,other,other,us,9.392745258631441,remoto total
114,114,2021,mi,ft,Data Engineer,38400,eur,45391,NL,100,NL,l,data engineer,other,other,10.723091157048632,remoto total
115,115,2021,en,ft,Machine Learning Scientist,225000,usd,225000,US,100,US,l,other,us,us,12.323860125621126,remoto total
116,116,2021,mi,ft,Data Scientist,50000,usd,50000,NG,100,NG,l,data scientist,other,other,10.819798284210286,remoto total
117,117,2021,mi,ft,Data Science Engineer,34000,eur,40189,GR,100,GR,m,other,other,other,10.601373487443247,remoto total
118,118,2021,en,ft,Data Analyst,90000,usd,90000,US,100,US,s,data analyst,us,us,11.407576060361786,remoto total
119,119,2021,mi,ft,Data Engineer,200000,usd,200000,US,100,US,l,data engineer,us,us,12.206077645517674,remoto total
120,120,2021,mi,ft,Big Data Engineer,60000,usd,60000,ES,50,RO,m,other,other,other,11.002116507732017,híbrido
121,121,2021,se,ft,Principal Data Engineer,200000,usd,200000,US,100,US,m,other,us,us,12.206077645517674,remoto total
122,122,2021,en,ft,Data Analyst,50000,usd,50000,US,100,US,m,data analyst,us,us,10.819798284210286,remoto total
123,123,2021,en,ft,Applied Data Scientist,80000,gbp,110037,GB,0,GB,l,other,gb,gb,11.608581039664324,presencial
124,124,2021,en,pt,Data Analyst,8760,eur,10354,ES,50,ES,m,data analyst,other,other,9.245224773829685,híbrido
125,125,2021,mi,ft,Principal Data Scientist,151000,usd,151000,US,100,US,l,other,us,us,11.92504173829169,remoto total
126,126,2021,se,ft,Machine Learning Scientist,120000,usd,120000,US,50,US,s,other,us,us,11.695255355062795,híbrido
127,127,2021,mi,ft,Data Scientist,700000,inr,9466,IN,0,IN,s,data scientist,in,in,9.15556734612889,presencial
128,128,2021,en,ft,Machine Learning Engineer,20000,usd,20000,IN,100,IN,s,machine learning engineer,in,in,9.90353755128617,remoto total
129,129,2021,se,ft,Lead Data Scientist,3000000,inr,40570,IN,50,IN,l,other,in,in,10.610808804651954,híbrido
130,130,2021,en,ft,Machine Learning Developer,100000,usd,100000,IQ,50,IQ,s,other,other,other,11.51293546492023,híbrido
131,131,2021,en,ft,Data Scientist,42000,eur,49646,FR,50,FR,m,data scientist,other,other,10.812693244687052,híbrido
132,132,2021,mi,ft,Applied Machine Learning Scientist,38400,usd,38400,VN,100,US,m,other,other,us,10.555838779903407,remoto total
133,133,2021,se,ft,Computer Vision Engineer,24000,usd,24000,BR,100,BR,m,other,other,other,10.085850775128717,remoto total
134,134,2021,en,ft,Data Scientist,100000,usd,100000,US,0,US,s,data scientist,us,us,11.51293546492023,presencial
135,135,2021,mi,ft,Data Analyst,90000,usd,90000,US,100,US,m,data analyst,us,us,11.407576060361786,remoto total
136,136,2021,mi,ft,ML Engineer,7000000,jpy,63711,JP,50,JP,s,other,other,other,11.062128206863923,híbrido
137,137,2021,mi,ft,ML Engineer,8500000,jpy,77364,JP,50,JP,s,other,other,other,11.256289760923773,híbrido
138,138,2021,se,ft,Principal Data Scientist,220000,usd,220000,US,0,US,l,other,us,us,12.301387370778713,presencial
139,139,2021,en,ft,Data Scientist,80000,usd,80000,US,100,US,m,data scientist,us,us,11.289794413577894,remoto total
140,140,2021,mi,ft,Data Analyst,135000,usd,135000,US,100,US,l,data analyst,us,us,11.813037464800539,remoto total
141,141,2021,se,ft,Data Science Manager,240000,usd,240000,US,0,US,l,other,us,us,12.388398368982115,presencial
142,142,2021,se,ft,Data Engineering Manager,150000,usd,150000,US,0,US,l,other,us,us,11.918397239722838,presencial
143,143,2021,mi,ft,Data Scientist,82500,usd,82500,US,100,US,s,data scientist,us,us,11.320565693461432,remoto total
144,144,2021,mi,ft,Data Engineer,100000,usd,100000,US,100,US,l,data engineer,us,us,11.51293546492023,remoto total
145,145,2021,se,ft,Machine Learning Engineer,70000,eur,82744,BE,50,BE,m,machine learning engineer,other,other,11.323518868453043,híbrido
146,146,2021,mi,ft,Research Scientist,53000,eur,62649,FR,50,FR,m,research scientist,other,other,11.045318960324215,híbrido
147,147,2021,mi,ft,Data Engineer,90000,usd,90000,US,100,US,l,data engineer,us,us,11.407576060361786,remoto total
148,148,2021,se,ft,Data Engineering Manager,153000,usd,153000,US,100,US,l,other,us,us,11.938199736300925,remoto total
149,149,2021,se,ft,Cloud Data Engineer,160000,usd,160000,BR,100,US,s,other,other,us,11.982935344196433,remoto total
150,150,2021,se,ft,Director of Data Science,168000,usd,168000,JP,0,JP,s,other,other,other,12.031725210748633,presencial
151,151,2021,mi,ft,Data Scientist,150000,usd,150000,US,100,US,m,data scientist,us,us,11.918397239722838,remoto total
152,152,2021,mi,ft,Data Scientist,95000,cad,75774,CA,100,CA,l,data scientist,ca,ca,11.235523701926004,remoto total
153,153,2021,en,ft,Data Scientist,13400,usd,13400,UA,100,UA,l,data scientist,other,other,9.503084610020228,remoto total
154,154,2021,se,ft,Data Science Manager,144000,usd,144000,US,100,US,l,other,us,us,11.87757552297847,remoto total
155,155,2021,se,ft,Data Science Engineer,159500,cad,127221,CA,50,CA,l,other,ca,ca,11.753688870907842,híbrido
156,156,2021,mi,ft,Data Scientist,160000,sgd,119059,SG,100,IL,m,data scientist,other,other,11.687382846707381,remoto total
157,157,2021,mi,ft,Applied Machine Learning Scientist,423000,usd,423000,US,50,US,l,other,us,us,12.955129822091815,híbrido
158,158,2021,se,ft,Data Analytics Manager,120000,usd,120000,US,100,US,m,other,us,us,11.695255355062795,remoto total
159,159,2021,en,ft,Machine Learning Engineer,125000,usd,125000,US,100,US,s,machine learning engineer,us,us,11.736077016252437,remoto total
160,160,2021,ex,ft,Head of Data,230000,usd,230000,RU,50,RU,l,other,other,other,12.345838935721968,híbrido
161,161,2021,ex,ft,Head of Data Science,85000,usd,85000,RU,0,RU,m,other,other,other,11.350418300109132,presencial
162,162,2021,mi,ft,Data Engineer,24000,eur,28369,MT,50,MT,l,data engineer,other,other,10.253087527802897,híbrido
163,163,2021,en,ft,Data Science Consultant,54000,eur,63831,DE,50,DE,l,other,de,de,11.064009910988117,híbrido
164,164,2021,ex,ft,Director of Data Science,110000,eur,130026,DE,50,DE,m,other,de,de,11.77549740018035,híbrido
165,165,2021,se,ft,Data Specialist,165000,usd,165000,US,100,US,l,other,us,us,12.013706813470414,remoto total
166,166,2021,en,ft,Data Engineer,80000,usd,80000,US,100,US,l,data engineer,us,us,11.289794413577894,remoto total
167,167,2021,ex,ft,Director of Data Science,250000,usd,250000,US,0,US,l,other,us,us,12.429220196836383,presencial
168,168,2021,en,ft,BI Data Analyst,55000,usd,55000,US,50,US,s,other,us,us,10.915106645867503,híbrido
169,169,2021,mi,ft,Data Architect,150000,usd,150000,US,100,US,l,other,us,us,11.918397239722838,remoto total
170,170,2021,mi,ft,Data Architect,170000,usd,170000,US,100,US,l,other,us,us,12.04355959836804,remoto total
171,171,2021,mi,ft,Data Engineer,60000,gbp,82528,GB,100,GB,l,data engineer,gb,gb,11.320905025707312,remoto total
172,172,2021,en,ft,Data Analyst,60000,usd,60000,US,100,US,s,data analyst,us,us,11.002116507732017,remoto total
173,173,2021,se,ft,Principal Data Scientist,235000,usd,235000,US,100,US,l,other,us,us,12.367345048436391,remoto total
174,174,2021,se,ft,Research Scientist,51400,eur,60757,PT,50,PT,l,research scientist,other,other,11.01465403977559,híbrido
175,175,2021,se,ft,Data Engineering Manager,174000,usd,174000,US,100,US,l,other,us,us,12.066816325306588,remoto total
176,176,2021,mi,ft,Data Scientist,58000,mxn,2859,MX,0,MX,s,data scientist,other,other,7.958576903813898,presencial
177,177,2021,mi,ft,Data Scientist,30400000,clp,40038,CL,100,CL,l,data scientist,other,other,10.597609258092302,remoto total
178,178,2021,en,ft,Machine Learning Engineer,81000,usd,81000,US,50,US,s,machine learning engineer,us,us,11.302216779257382,híbrido
179,179,2021,mi,ft,Data Scientist,420000,inr,5679,IN,100,US,s,data scientist,in,us,8.644706511715198,remoto total
180,180,2021,mi,ft,Big Data Engineer,1672000,inr,22611,IN,0,IN,l,other,in,in,10.026236017795181,presencial
181,181,2021,mi,ft,Data Scientist,76760,eur,90734,DE,50,DE,l,data scientist,de,de,11.415698449209124,híbrido
182,182,2021,mi,ft,Data Engineer,22000,eur,26005,RO,0,US,l,data engineer,other,us,10.166082559611265,presencial
183,183,2021,se,ft,Finance Data Analyst,45000,gbp,61896,GB,50,GB,l,other,gb,gb,11.033226992231649,híbrido
184,184,2021,mi,fl,Machine Learning Scientist,12000,usd,12000,PK,50,PK,m,other,other,other,9.392745258631441,híbrido
185,185,2021,mi,ft,Data Engineer,4000,usd,4000,IR,100,IR,m,data engineer,other,other,8.294299608857235,remoto total
186,186,2021,se,ft,Data Analytics Engineer,50000,usd,50000,VN,100,GB,m,other,other,gb,10.819798284210286,remoto total
187,187,2021,ex,ft,Data Science Consultant,59000,eur,69741,FR,100,ES,s,other,other,other,11.152557997765097,remoto total
188,188,2021,se,ft,Data Engineer,65000,eur,76833,RO,50,GB,s,data engineer,other,gb,11.249402529502674,híbrido
189,189,2021,mi,ft,Machine Learning Engineer,74000,usd,74000,JP,50,JP,s,machine learning engineer,other,other,11.211833885608513,híbrido
190,190,2021,se,ft,Data Science Manager,152000,usd,152000,US,100,FR,l,other,us,other,11.931642378754141,remoto total
191,191,2021,en,ft,Machine Learning Engineer,21844,usd,21844,CO,50,CO,m,machine learning engineer,other,other,9.991727341385536,híbrido
192,192,2021,mi,ft,Big Data Engineer,18000,usd,18000,MD,0,MD,s,other,other,other,9.798182590890704,presencial
193,193,2021,se,ft,Data Science Manager,174000,usd,174000,US,100,US,l,other,us,us,12.066816325306588,remoto total
194,194,2021,se,ft,Research Scientist,120500,cad,96113,CA,50,CA,l,research scientist,ca,ca,11.473290265929538,híbrido
195,195,2021,mi,ft,Data Scientist,147000,usd,147000,US,50,US,l,data scientist,us,us,11.898194668458823,híbrido
196,196,2021,en,ft,BI Data Analyst,9272,usd,9272,KE,100,KE,s,other,other,other,9.134862230800225,remoto total
197,197,2021,se,ft,Machine Learning Engineer,1799997,inr,24342,IN,100,IN,l,machine learning engineer,in,in,10.09999961284942,remoto total
198,198,2021,se,ft,Data Science Manager,4000000,inr,54094,IN,50,US,l,other,in,us,10.898497039121674,híbrido
199,199,2021,en,ft,Data Science Consultant,90000,usd,90000,US,100,US,s,other,us,us,11.407576060361786,remoto total
200,200,2021,mi,ft,Data Scientist,52000,eur,61467,DE,50,AT,m,data scientist,de,other,11.026271993175223,híbrido
201,201,2021,se,ft,Machine Learning Infrastructure Engineer,195000,usd,195000,US,100,US,m,other,us,us,12.180759965737863,remoto total
202,202,2021,mi,ft,Data Scientist,32000,eur,37825,ES,100,ES,l,data scientist,other,other,10.5407519758484,remoto total
203,203,2021,se,ft,Research Scientist,50000,usd,50000,FR,100,US,s,research scientist,other,us,10.819798284210286,remoto total
204,204,2021,mi,ft,Data Scientist,160000,usd,160000,US,100,US,l,data scientist,us,us,11.982935344196433,remoto total
205,205,2021,mi,ft,Data Scientist,69600,brl,12901,BR,0,BR,s,data scientist,other,other,9.465137617092187,presencial
206,206,2021,se,ft,Machine Learning Engineer,200000,usd,200000,US,100,US,l,machine learning engineer,us,us,12.206077645517674,remoto total
207,207,2021,se,ft,Data Engineer,165000,usd,165000,US,0,US,m,data engineer,us,us,12.013706813470414,presencial
208,208,2021,mi,fl,Data Engineer,20000,usd,20000,IT,0,US,l,data engineer,other,us,9.90353755128617,presencial
209,209,2021,se,ft,Data Analytics Manager,120000,usd,120000,US,0,US,l,other,us,us,11.695255355062795,presencial
210,210,2021,mi,ft,Machine Learning Engineer,21000,eur,24823,SI,50,SI,l,machine learning engineer,other,other,10.119566206128216,híbrido
211,211,2021,mi,ft,Research Scientist,48000,eur,56738,FR,50,FR,s,research scientist,other,other,10.946217083956563,híbrido
212,212,2021,mi,ft,Data Engineer,48000,gbp,66022,HK,50,GB,s,data engineer,other,gb,11.097758445150307,híbrido
213,213,2021,en,ft,Big Data Engineer,435000,inr,5882,IN,0,CH,l,other,in,other,8.679822114864455,presencial
214,214,2021,en,ft,Machine Learning Engineer,21000,eur,24823,DE,50,DE,m,machine learning engineer,de,de,10.119566206128216,híbrido
215,215,2021,se,ft,Principal Data Engineer,185000,usd,185000,US,100,US,l,other,us,us,12.128116509451258,remoto total
216,216,2021,en,pt,Computer Vision Engineer,180000,dkk,28609,DK,50,DK,s,other,other,other,10.261511586044156,híbrido
217,217,2021,mi,ft,Data Scientist,76760,eur,90734,DE,50,DE,l,data scientist,de,de,11.415698449209124,híbrido
218,218,2021,mi,ft,Machine Learning Engineer,75000,eur,88654,BE,100,BE,m,machine learning engineer,other,other,11.392507711491088,remoto total
219,219,2021,se,ft,Data Analytics Manager,140000,usd,140000,US,100,US,l,other,us,us,11.849404844423074,remoto total
220,220,2021,mi,ft,Machine Learning Engineer,180000,pln,46597,PL,100,PL,l,machine learning engineer,other,other,10.74931290073778,remoto total
221,221,2021,mi,ft,Data Scientist,85000,gbp,116914,GB,50,GB,l,data scientist,gb,gb,11.669202454027493,híbrido
222,222,2021,mi,ft,Data Scientist,2500000,inr,33808,IN,0,IN,m,data scientist,in,in,10.42848231821631,presencial
223,223,2021,mi,ft,Data Scientist,40900,gbp,56256,GB,50,GB,l,data scientist,gb,gb,10.937685756768543,híbrido
224,224,2021,se,ft,Machine Learning Scientist,225000,usd,225000,US,100,CA,l,other,us,ca,12.323860125621126,remoto total
225,225,2021,ex,ct,Principal Data Scientist,416000,usd,416000,US,100,US,s,other,us,us,12.938442943086665,remoto total
226,226,2021,se,ft,Data Scientist,110000,cad,87738,CA,100,CA,s,data scientist,ca,ca,11.38212177734502,remoto total
227,227,2021,mi,ft,Data Scientist,75000,eur,88654,DE,50,DE,l,data scientist,de,de,11.392507711491088,híbrido
228,228,2021,se,ft,Data Scientist,135000,usd,135000,US,0,US,l,data scientist,us,us,11.813037464800539,presencial
