salary,salary_in_usd,remote_ratio_bin,experience_level_tr,company_size_M,company_size_S,work_year,employment_FL,employment_FT,employment_PT
150000,150000,1,2,0,0,2021,0,1,0
11000000,36259,0,1,0,0,2021,0,1,0
62000,62000,0,1,0,0,2021,0,1,0
73000,73000,0,1,0,0,2021,0,1,0
37456,51519,0,1,0,0,2021,0,1,0
235000,187442,1,1,0,0,2021,0,1,0
115000,115000,1,2,0,1,2021,0,1,0
150000,150000,1,2,1,0,2021,0,1,0
2250000,30428,1,0,0,0,2021,0,1,0
80000,94564,0,2,0,0,2021,0,1,0
82500,113476,1,2,1,0,2021,0,1,0
75000,103160,1,2,0,1,2021,0,1,0
12000,12000,1,0,1,0,2021,0,0,1
38400,45391,1,1,0,0,2021,0,1,0
225000,225000,1,0,0,0,2021,0,1,0
50000,50000,1,1,0,0,2021,0,1,0
34000,40189,1,1,1,0,2021,0,1,0
90000,90000,1,0,0,1,2021,0,1,0
200000,200000,1,1,0,0,2021,0,1,0
60000,60000,0,1,1,0,2021,0,1,0
200000,200000,1,2,1,0,2021,0,1,0
50000,50000,1,0,1,0,2021,0,1,0
80000,110037,0,0,0,0,2021,0,1,0
8760,10354,0,0,1,0,2021,0,0,1
151000,151000,1,1,0,0,2021,0,1,0
120000,120000,0,2,0,1,2021,0,1,0
700000,9466,0,1,0,1,2021,0,1,0
20000,20000,1,0,0,1,2021,0,1,0
3000000,40570,0,2,0,0,2021,0,1,0
100000,100000,0,0,0,1,2021,0,1,0
42000,49646,0,0,1,0,2021,0,1,0
38400,38400,1,1,1,0,2021,0,1,0
24000,24000,1,2,1,0,2021,0,1,0
100000,100000,0,0,0,1,2021,0,1,0
90000,90000,1,1,1,0,2021,0,1,0
7000000,63711,0,1,0,1,2021,0,1,0
8500000,77364,0,1,0,1,2021,0,1,0
220000,220000,0,2,0,0,2021,0,1,0
80000,80000,1,0,1,0,2021,0,1,0
135000,135000,1,1,0,0,2021,0,1,0
240000,240000,0,2,0,0,2021,0,1,0
150000,150000,0,2,0,0,2021,0,1,0
82500,82500,1,1,0,1,2021,0,1,0
100000,100000,1,1,0,0,2021,0,1,0
70000,82744,0,2,1,0,2021,0,1,0
53000,62649,0,1,1,0,2021,0,1,0
90000,90000,1,1,0,0,2021,0,1,0
153000,153000,1,2,0,0,2021,0,1,0
160000,160000,1,2,0,1,2021,0,1,0
168000,168000,0,2,0,1,2021,0,1,0
150000,150000,1,1,1,0,2021,0,1,0
95000,75774,1,1,0,0,2021,0,1,0
13400,13400,1,0,0,0,2021,0,1,0
144000,144000,1,2,0,0,2021,0,1,0
159500,127221,0,2,0,0,2021,0,1,0
160000,119059,1,1,1,0,2021,0,1,0
423000,423000,0,1,0,0,2021,0,1,0
120000,120000,1,2,1,0,2021,0,1,0
125000,125000,1,0,0,1,2021,0,1,0
230000,230000,0,3,0,0,2021,0,1,0
85000,85000,0,3,1,0,2021,0,1,0
24000,28369,0,1,0,0,2021,0,1,0
54000,63831,0,0,0,0,2021,0,1,0
110000,130026,0,3,1,0,2021,0,1,0
165000,165000,1,2,0,0,2021,0,1,0
80000,80000,1,0,0,0,2021,0,1,0
250000,250000,0,3,0,0,2021,0,1,0
55000,55000,0,0,0,1,2021,0,1,0
150000,150000,1,1,0,0,2021,0,1,0
170000,170000,1,1,0,0,2021,0,1,0
60000,82528,1,1,0,0,2021,0,1,0
60000,60000,1,0,0,1,2021,0,1,0
235000,235000,1,2,0,0,2021,0,1,0
51400,60757,0,2,0,0,2021,0,1,0
174000,174000,1,2,0,0,2021,0,1,0
58000,2859,0,1,0,1,2021,0,1,0
30400000,40038,1,1,0,0,2021,0,1,0
81000,81000,0,0,0,1,2021,0,1,0
420000,5679,1,1,0,1,2021,0,1,0
1672000,22611,0,1,0,0,2021,0,1,0
76760,90734,0,1,0,0,2021,0,1,0
22000,26005,0,1,0,0,2021,0,1,0
45000,61896,0,2,0,0,2021,0,1,0
12000,12000,0,1,1,0,2021,1,0,0
4000,4000,1,1,1,0,2021,0,1,0
50000,50000,1,2,1,0,2021,0,1,0
59000,69741,1,3,0,1,2021,0,1,0
65000,76833,0,2,0,1,2021,0,1,0
74000,74000,0,1,0,1,2021,0,1,0
152000,152000,1,2,0,0,2021,0,1,0
21844,21844,0,0,1,0,2021,0,1,0
18000,18000,0,1,0,1,2021,0,1,0
174000,174000,1,2,0,0,2021,0,1,0
120500,96113,0,2,0,0,2021,0,1,0
147000,147000,0,1,0,0,2021,0,1,0
9272,9272,1,0,0,1,2021,0,1,0
1799997,24342,1,2,0,0,2021,0,1,0
4000000,54094,0,2,0,0,2021,0,1,0
90000,90000,1,0,0,1,2021,0,1,0
52000,61467,0,1,1,0,2021,0,1,0
195000,195000,1,2,1,0,2021,0,1,0
32000,37825,1,1,0,0,2021,0,1,0
50000,50000,1,2,0,1,2021,0,1,0
160000,160000,1,1,0,0,2021,0,1,0
69600,12901,0,1,0,1,2021,0,1,0
200000,200000,1,2,0,0,2021,0,1,0
165000,165000,0,2,1,0,2021,0,1,0
20000,20000,0,1,0,0,2021,1,0,0
120000,120000,0,2,0,0,2021,0,1,0
21000,24823,0,1,0,0,2021,0,1,0
48000,56738,0,1,0,1,2021,0,1,0
48000,66022,0,1,0,1,2021,0,1,0
435000,5882,0,0,0,0,2021,0,1,0
21000,24823,0,0,1,0,2021,0,1,0
185000,185000,1,2,0,0,2021,0,1,0
180000,28609,0,0,0,1,2021,0,0,1
76760,90734,0,1,0,0,2021,0,1,0
75000,88654,1,1,1,0,2021,0,1,0
140000,140000,1,2,0,0,2021,0,1,0
180000,46597,1,1,0,0,2021,0,1,0
85000,116914,0,1,0,0,2021,0,1,0
2500000,33808,0,1,1,0,2021,0,1,0
40900,56256,0,1,0,0,2021,0,1,0
225000,225000,1,2,0,0,2021,0,1,0
416000,416000,1,3,0,1,2021,0,0,0
110000,87738,1,2,0,1,2021,0,1,0
75000,88654,0,1,0,0,2021,0,1,0
135000,135000,0,2,0,0,2021,0,1,0
90000,71786,1,2,1,0,2021,0,1,0
1200000,16228,1,0,0,0,2021,0,1,0
256000,256000,1,2,0,1,2021,0,1,0
200000,200000,1,2,0,0,2021,0,1,0
200000,200000,1,2,0,0,2021,0,1,0
180000,180000,1,1,0,0,2021,0,1,0
110000,110000,0,1,0,1,2021,0,1,0
80000,63810,1,1,1,0,2021,0,1,0
39600,46809,1,1,1,0,2021,0,1,0
4000,4000,0,0,1,0,2021,0,1,0
1600000,21637,0,0,1,0,2021,0,1,0
130000,103691,1,2,0,0,2021,0,1,0
80000,80000,1,1,0,0,2021,0,1,0
110000,110000,1,1,0,0,2021,0,1,0
165000,165000,1,2,0,0,2021,0,1,0
1335000,18053,1,0,0,1,2021,0,1,0
52500,72212,0,1,0,0,2021,0,1,0
31000,36643,0,0,0,0,2021,0,1,0
108000,12103,0,1,1,0,2021,0,1,0
70000,96282,0,2,0,0,2021,0,1,0
170000,170000,1,2,1,0,2021,0,1,0
115000,115000,0,1,0,0,2021,0,1,0
90000,90000,1,0,0,1,2021,0,1,0
600000,600000,1,3,0,0,2021,0,1,0
2100000,28399,1,0,1,0,2021,0,1,0
93000,93000,1,1,0,0,2021,0,1,0
125000,99703,0,2,1,0,2021,0,1,0
200000,200000,1,1,0,0,2021,0,1,0
147000,173762,1,2,1,0,2021,0,1,0
185000,185000,0,2,0,0,2021,0,1,0
120000,141846,0,3,0,0,2021,0,1,0
130000,130000,0,1,0,0,2021,0,1,0
54000,63831,0,2,0,0,2021,0,1,0
1250000,16904,1,1,0,1,2021,0,1,0
4900000,66265,0,2,0,0,2021,0,1,0
21600,25532,1,1,0,1,2021,0,1,0
160000,160000,0,2,0,1,2021,0,1,0
93150,93150,0,1,1,0,2021,0,1,0
111775,111775,0,1,1,0,2021,0,1,0
250000,28016,1,1,1,0,2021,0,1,0
55000,65013,0,0,1,0,2021,0,1,0
72500,72500,1,0,0,0,2021,0,1,0
102000,18907,0,2,1,0,2021,0,1,0
65000,76833,0,0,0,0,2021,0,1,0
85000,85000,1,0,0,1,2021,0,1,0
65720,77684,0,2,1,0,2021,0,1,0
100000,100000,1,0,1,0,2021,0,1,0
58000,58000,0,0,0,0,2021,0,1,0
55000,55000,1,2,0,0,2021,0,1,0
180000,20171,0,2,0,0,2021,0,1,0
50000,59102,1,0,0,0,2021,0,1,0
112000,112000,1,1,0,0,2021,0,1,0
100000,100000,0,0,0,0,2021,0,1,0
59000,69741,1,1,0,0,2021,0,0,1
105000,105000,1,2,1,0,2021,0,0,0
69999,69999,0,1,0,0,2021,0,1,0
7000000,94665,0,2,0,0,2021,0,1,0
87000,102839,1,2,0,0,2021,0,1,0
109000,109000,0,1,0,0,2021,0,1,0
43200,51064,0,1,0,0,2021,0,1,0
135000,135000,1,2,1,0,2022,0,1,0
155000,155000,1,2,1,0,2022,0,1,0
120600,120600,1,2,1,0,2022,0,1,0
130000,130000,0,1,1,0,2022,0,1,0
90000,90000,0,1,1,0,2022,0,1,0
170000,170000,1,1,1,0,2022,0,1,0
150000,150000,1,1,1,0,2022,0,1,0
102100,102100,1,2,1,0,2022,0,1,0
84900,84900,1,2,1,0,2022,0,1,0
136620,136620,1,2,1,0,2022,0,1,0
99360,99360,1,2,1,0,2022,0,1,0
90000,117789,0,2,1,0,2022,0,1,0
80000,104702,0,2,1,0,2022,0,1,0
146000,146000,1,2,1,0,2022,0,1,0
123000,123000,1,2,1,0,2022,0,1,0
40000,52351,1,0,1,0,2022,0,1,0
99000,99000,0,2,1,0,2022,0,1,0
116000,116000,0,2,1,0,2022,0,1,0
106260,106260,0,1,1,0,2022,0,1,0
126500,126500,0,1,1,0,2022,0,1,0
242000,242000,1,3,1,0,2022,0,1,0
200000,200000,1,3,1,0,2022,0,1,0
50000,65438,0,1,1,0,2022,0,1,0
30000,39263,0,1,1,0,2022,0,1,0
60000,78526,0,1,1,0,2022,0,1,0
40000,52351,0,1,1,0,2022,0,1,0
165220,165220,1,2,1,0,2022,0,1,0
35000,45807,1,0,1,0,2022,0,1,0
120160,120160,1,2,1,0,2022,0,1,0
90320,90320,1,2,1,0,2022,0,1,0
181940,181940,0,2,1,0,2022,0,1,0
132320,132320,0,2,1,0,2022,0,1,0
220110,220110,0,2,1,0,2022,0,1,0
160080,160080,0,2,1,0,2022,0,1,0
180000,180000,0,2,0,0,2022,0,1,0
120000,120000,0,2,0,0,2022,0,1,0
124190,124190,1,2,1,0,2022,0,1,0
130000,130000,1,3,1,0,2022,0,1,0
110000,110000,1,3,1,0,2022,0,1,0
170000,170000,1,2,1,0,2022,0,1,0
115500,115500,1,1,1,0,2022,0,1,0
112900,112900,1,2,1,0,2022,0,1,0
90320,90320,1,2,1,0,2022,0,1,0
112900,112900,1,2,1,0,2022,0,1,0
90320,90320,1,2,1,0,2022,0,1,0
165400,165400,1,2,1,0,2022,0,1,0
132320,132320,1,2,1,0,2022,0,1,0
167000,167000,1,1,1,0,2022,0,1,0
243900,243900,1,2,1,0,2022,0,1,0
136600,136600,1,2,1,0,2022,0,1,0
109280,109280,1,2,1,0,2022,0,1,0
128875,128875,1,2,1,0,2022,0,1,0
93700,93700,1,2,1,0,2022,0,1,0
224000,224000,1,3,1,0,2022,0,1,0
167875,167875,1,3,1,0,2022,0,1,0
175000,175000,1,3,1,0,2022,0,1,0
156600,156600,1,2,1,0,2022,0,1,0
108800,108800,0,2,1,0,2022,0,1,0
95550,95550,0,2,1,0,2022,0,1,0
113000,113000,0,2,0,0,2022,0,1,0
135000,135000,1,2,1,0,2022,0,1,0
161342,161342,1,2,1,0,2022,0,1,0
137141,137141,1,2,1,0,2022,0,1,0
167000,167000,1,2,1,0,2022,0,1,0
123000,123000,1,2,1,0,2022,0,1,0
60000,78526,0,2,1,0,2022,0,1,0
50000,65438,0,2,1,0,2022,0,1,0
150000,150000,0,2,1,0,2022,0,1,0
211500,211500,1,2,1,0,2022,0,1,0
192400,192400,1,2,1,0,2022,0,1,0
90700,90700,1,2,1,0,2022,0,1,0
130000,130000,1,2,1,0,2022,0,1,0
61300,61300,1,2,1,0,2022,0,1,0
130000,130000,1,2,1,0,2022,0,1,0
61300,61300,1,2,1,0,2022,0,1,0
160000,160000,0,2,0,0,2022,0,1,0
138600,138600,1,2,1,0,2022,0,1,0
136000,136000,0,2,1,0,2022,0,1,0
58000,58000,0,1,0,1,2022,0,1,0
135000,135000,1,3,1,0,2022,0,1,0
170000,170000,1,2,1,0,2022,0,1,0
123000,123000,1,2,1,0,2022,0,1,0
189650,189650,0,2,1,0,2022,0,1,0
164996,164996,0,2,1,0,2022,0,1,0
50000,54957,0,1,1,0,2022,0,1,0
50000,54957,0,1,1,0,2022,0,1,0
150000,118187,1,3,0,1,2022,0,1,0
132000,132000,0,2,1,0,2022,0,1,0
165400,165400,1,2,1,0,2022,0,1,0
208775,208775,1,2,1,0,2022,0,1,0
147800,147800,1,2,1,0,2022,0,1,0
136994,136994,1,2,1,0,2022,0,1,0
101570,101570,1,2,1,0,2022,0,1,0
128875,128875,1,2,1,0,2022,0,1,0
93700,93700,1,2,1,0,2022,0,1,0
6000000,79039,0,3,0,0,2022,0,1,0
132320,132320,1,2,1,0,2022,0,1,0
28500,37300,1,0,0,0,2022,0,1,0
164000,164000,0,2,1,0,2022,0,1,0
155000,155000,1,2,1,0,2022,0,1,0
95000,124333,0,1,1,0,2022,0,1,0
75000,98158,0,1,1,0,2022,0,1,0
120000,120000,0,1,1,0,2022,0,1,0
112900,112900,1,2,1,0,2022,0,1,0
90320,90320,1,2,1,0,2022,0,1,0
145000,145000,1,2,1,0,2022,0,1,0
105400,105400,1,2,1,0,2022,0,1,0
80000,87932,1,1,1,0,2022,0,1,0
90000,117789,0,1,1,0,2022,0,1,0
215300,215300,1,2,0,0,2022,0,1,0
158200,158200,1,2,0,0,2022,0,1,0
209100,209100,1,2,0,0,2022,0,1,0
154600,154600,1,2,0,0,2022,0,1,0
115934,115934,0,2,1,0,2022,0,1,0
81666,81666,0,2,1,0,2022,0,1,0
175000,175000,1,2,1,0,2022,0,1,0
75000,98158,0,1,1,0,2022,0,1,0
58000,58000,0,1,0,1,2022,0,1,0
183600,183600,1,2,0,0,2022,0,1,0
40000,52351,1,1,1,0,2022,0,1,0
180000,180000,1,2,1,0,2022,0,1,0
55000,71982,0,1,1,0,2022,0,1,0
35000,45807,0,1,1,0,2022,0,1,0
60000,65949,1,1,1,0,2022,0,1,0
45000,49461,1,1,1,0,2022,0,1,0
60000,78526,1,1,1,0,2022,0,1,0
45000,58894,1,1,1,0,2022,0,1,0
260000,260000,1,2,1,0,2022,0,1,0
60000,60000,1,2,0,0,2022,0,1,0
63900,63900,0,1,1,0,2022,0,1,0
160000,160000,1,1,0,0,2022,0,1,0
112300,112300,1,1,0,0,2022,0,1,0
241000,241000,1,1,1,0,2022,0,1,0
159000,159000,1,1,1,0,2022,0,1,0
180000,180000,0,2,1,0,2022,0,1,0
80000,80000,0,2,1,0,2022,0,1,0
82900,82900,0,1,1,0,2022,0,1,0
100800,100800,1,2,0,0,2022,0,1,0
45000,49461,1,1,1,0,2022,0,1,0
140400,140400,0,2,0,0,2022,0,1,0
30000,39263,1,1,1,0,2022,0,1,0
40000,43966,1,1,1,0,2022,0,1,0
30000,32974,1,1,1,0,2022,0,1,0
80000,87932,1,1,1,0,2022,0,1,0
70000,76940,1,1,1,0,2022,0,1,0
80000,104702,1,1,1,0,2022,0,1,0
70000,91614,1,1,1,0,2022,0,1,0
60000,65949,1,1,1,0,2022,0,1,0
80000,87932,1,1,1,0,2022,0,1,0
189650,189650,0,2,1,0,2022,0,1,0
164996,164996,0,2,1,0,2022,0,1,0
40000,43966,1,1,1,0,2022,0,1,0
30000,32974,1,1,1,0,2022,0,1,0
75000,98158,1,1,1,0,2022,0,1,0
60000,78526,1,1,1,0,2022,0,1,0
215300,215300,0,2,0,0,2022,0,1,0
70000,76940,1,1,1,0,2022,0,1,0
209100,209100,1,2,0,0,2022,0,1,0
154600,154600,1,2,0,0,2022,0,1,0
180000,180000,1,2,1,0,2022,0,1,0
20000,21983,1,0,0,0,2022,0,1,0
80000,80000,1,2,1,0,2022,0,1,0
100000,78791,1,1,1,0,2022,0,1,0
250000,196979,0,3,0,0,2022,0,1,0
120000,120000,1,1,0,1,2022,0,1,0
125000,125000,0,0,1,0,2022,0,1,0
240000,37236,0,1,0,0,2022,0,1,0
105000,105000,1,2,1,0,2022,0,1,0
80000,87932,0,2,1,0,2022,0,1,0
1400000,18442,1,1,1,0,2022,0,1,0
2400000,31615,1,1,0,0,2022,0,1,0
53000,58255,0,1,0,0,2022,0,1,0
100000,100000,0,0,0,0,2022,0,1,0
50000,54957,0,1,0,0,2022,0,0,1
1400000,18442,1,0,1,0,2022,0,1,0
148000,162674,1,2,1,0,2022,0,1,0
120000,120000,1,0,1,0,2022,0,1,0
144000,144000,0,2,0,0,2022,0,1,0
104890,104890,1,2,1,0,2022,0,1,0
100000,100000,1,2,1,0,2022,0,1,0
140000,140000,1,2,1,0,2022,0,1,0
135000,135000,1,1,1,0,2022,0,1,0
50000,50000,1,1,1,0,2022,0,1,0
220000,220000,1,2,1,0,2022,0,1,0
140000,140000,1,2,1,0,2022,0,1,0
140000,183228,0,1,1,0,2022,0,1,0
70000,91614,0,1,1,0,2022,0,1,0
185100,185100,1,2,1,0,2022,0,1,0
220000,220000,1,2,1,0,2022,0,1,0
200000,200000,1,1,1,0,2022,0,1,0
120000,120000,1,1,1,0,2022,0,1,0
120000,120000,1,2,0,1,2022,0,1,0
65000,65000,1,2,0,1,2022,0,1,0
324000,324000,1,3,1,0,2022,0,1,0
216000,216000,1,3,1,0,2022,0,1,0
210000,210000,1,2,1,0,2022,0,1,0
120000,120000,1,2,1,0,2022,0,1,0
230000,230000,1,2,1,0,2022,0,1,0
100000,100000,0,0,1,0,2022,0,0,1
100000,100000,1,1,1,0,2022,1,0,0
29000,31875,1,0,1,0,2022,0,0,0
200000,200000,1,2,1,0,2022,0,1,0
75000,75000,1,1,0,1,2022,0,1,0
150000,35590,1,1,0,0,2022,0,1,0
100000,78791,1,2,1,0,2022,0,1,0
100000,100000,1,2,1,0,2022,0,1,0
153000,153000,0,1,1,0,2022,0,1,0
52800,58035,1,0,1,0,2022,0,1,0
165000,165000,1,2,1,0,2022,0,1,0
85000,93427,0,2,0,0,2022,0,1,0
66500,52396,1,0,0,0,2022,0,1,0
57000,62651,1,2,0,0,2022,0,1,0
30000,32974,1,1,0,1,2022,0,1,0
40000,40000,1,0,0,0,2022,0,1,0
121000,87425,1,1,0,0,2022,0,1,0
115000,115000,1,2,1,0,2022,0,1,0
120000,86703,0,0,1,0,2022,0,1,0
75000,75000,1,1,0,0,2022,0,1,0
59000,64849,0,1,0,0,2022,0,1,0
120000,120000,1,0,0,0,2022,0,1,0
157000,157000,1,1,0,0,2022,0,1,0
150000,150000,1,0,0,1,2022,0,1,0
90000,70912,0,1,0,0,2022,0,1,0
65000,65000,1,0,0,1,2022,0,1,0
65000,71444,1,2,0,1,2022,0,1,0
20000,20000,0,0,1,0,2022,0,1,0
48000,48000,1,1,0,1,2022,0,1,0
152500,152500,1,2,1,0,2022,0,1,0
62000,68147,1,1,1,0,2022,0,1,0
115000,122346,0,1,0,0,2022,0,1,0
380000,380000,1,2,0,0,2022,0,1,0
88000,69336,1,1,1,0,2022,0,1,0
10000,10000,1,0,1,0,2022,0,1,0
20000,20000,1,1,0,1,2022,0,1,0
405000,405000,1,2,0,0,2022,0,1,0
135000,135000,1,1,0,0,2022,0,1,0
177000,177000,1,2,0,0,2022,0,1,0
78000,78000,1,1,1,0,2022,0,1,0
135000,135000,1,2,1,0,2022,0,1,0
100000,100000,1,2,1,0,2022,0,1,0
90320,90320,1,2,1,0,2022,0,1,0
85000,85000,0,1,1,0,2022,0,1,0
75000,75000,0,1,1,0,2022,0,1,0
214000,214000,1,2,1,0,2022,0,1,0
192600,192600,1,2,1,0,2022,0,1,0
266400,266400,1,2,1,0,2022,0,1,0
213120,213120,1,2,1,0,2022,0,1,0
112900,112900,1,2,1,0,2022,0,1,0
155000,155000,1,2,1,0,2022,0,1,0
141300,141300,0,1,1,0,2022,0,1,0
102100,102100,0,1,1,0,2022,0,1,0
115934,115934,1,2,1,0,2022,0,1,0
81666,81666,1,2,1,0,2022,0,1,0
206699,206699,0,1,1,0,2022,0,1,0
99100,99100,0,1,1,0,2022,0,1,0
130000,130000,1,2,1,0,2022,0,1,0
115000,115000,1,2,1,0,2022,0,1,0
110500,110500,1,2,1,0,2022,0,1,0
130000,130000,1,2,1,0,2022,0,1,0
99050,99050,1,2,1,0,2022,0,1,0
160000,160000,1,2,1,0,2022,0,1,0
205300,205300,0,2,0,0,2022,0,1,0
140400,140400,0,2,0,0,2022,0,1,0
176000,176000,1,2,1,0,2022,0,1,0
144000,144000,1,2,1,0,2022,0,1,0
200100,200100,1,2,1,0,2022,0,1,0
160000,160000,1,2,1,0,2022,0,1,0
145000,145000,1,2,1,0,2022,0,1,0
70500,70500,0,2,1,0,2022,0,1,0
205300,205300,0,2,1,0,2022,0,1,0
140400,140400,0,2,1,0,2022,0,1,0
205300,205300,0,2,1,0,2022,0,1,0
184700,184700,0,2,1,0,2022,0,1,0
175100,175100,1,2,1,0,2022,0,1,0
140250,140250,1,2,1,0,2022,0,1,0
116150,116150,1,2,1,0,2022,0,1,0
54000,54000,0,2,1,0,2022,0,1,0
170000,170000,1,2,1,0,2022,0,1,0
50000,65438,0,1,1,0,2022,0,1,0
80000,80000,1,2,1,0,2022,0,1,0
140000,140000,1,2,1,0,2022,0,1,0
210000,210000,1,2,1,0,2022,0,1,0
140000,140000,1,2,1,0,2022,0,1,0
100000,100000,1,2,1,0,2022,0,1,0
69000,69000,1,2,1,0,2022,0,1,0
210000,210000,1,2,1,0,2022,0,1,0
140000,140000,1,2,1,0,2022,0,1,0
210000,210000,1,2,1,0,2022,0,1,0
150075,150075,1,2,1,0,2022,0,1,0
100000,100000,1,2,1,0,2022,0,1,0
25000,25000,1,2,1,0,2022,0,1,0
126500,126500,1,2,1,0,2022,0,1,0
106260,106260,1,2,1,0,2022,0,1,0
220110,220110,1,2,1,0,2022,0,1,0
160080,160080,1,2,1,0,2022,0,1,0
105000,105000,1,2,1,0,2022,0,1,0
110925,110925,1,2,1,0,2022,0,1,0
35000,45807,0,1,1,0,2022,0,1,0
140000,140000,1,2,1,0,2022,0,1,0
99000,99000,0,2,1,0,2022,0,1,0
60000,60000,1,2,1,0,2022,0,1,0
192564,192564,1,2,1,0,2022,0,1,0
144854,144854,1,2,1,0,2022,0,1,0
230000,230000,1,2,1,0,2022,0,1,0
150000,150000,1,2,1,0,2022,0,1,0
150260,150260,1,2,1,0,2022,0,1,0
109280,109280,1,2,1,0,2022,0,1,0
210000,210000,1,2,1,0,2022,0,1,0
170000,170000,1,2,1,0,2022,0,1,0
160000,160000,1,1,1,0,2022,0,1,0
130000,130000,1,1,1,0,2022,0,1,0
67000,67000,0,0,1,0,2022,0,1,0
52000,52000,0,0,1,0,2022,0,1,0
